Unnamed: 0,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-01,5,5,1,1,0,0,0,0,0,0,0.2,0.2,0.2,0.4
1,2021-04-03,5,4,0,0,0,0,0,0,1,0,0.111,0.2,0.111,0.311
2,2021-04-04,4,3,0,1,0,0,0,0,1,0,0.167,0.286,0.167,0.452
3,2021-04-05,4,3,2,1,0,0,1,1,1,0,0.2,0.333,0.4,0.733
4,2021-04-06,5,5,1,1,0,0,0,0,0,1,0.2,0.304,0.35,0.654
5,2021-04-07,5,5,1,3,0,0,0,0,0,1,0.28,0.357,0.4,0.757
6,2021-04-08,4,4,0,1,0,1,0,0,0,2,0.276,0.344,0.448,0.792
7,2021-04-10,5,5,0,2,0,0,0,0,0,0,0.294,0.351,0.441,0.792
8,2021-04-11,5,5,0,1,0,0,0,0,0,0,0.282,0.333,0.41,0.744
9,2021-04-12,4,4,0,1,0,0,0,1,0,1,0.279,0.326,0.395,0.721
10,2021-04-13,6,5,2,2,0,0,0,0,1,0,0.292,0.346,0.396,0.742
11,2021-04-14,4,3,0,1,1,0,0,0,1,0,0.294,0.357,0.412,0.769
12,2021-04-16,4,4,0,2,0,0,0,0,0,0,0.309,0.367,0.418,0.785
13,2021-04-17,5,4,0,1,0,0,0,0,1,0,0.305,0.369,0.407,0.776
14,2021-04-18,4,4,0,0,0,0,0,0,0,0,0.286,0.348,0.381,0.729
15,2021-04-19,5,5,1,2,1,0,1,2,0,2,0.294,0.351,0.441,0.792
16,2021-04-20,4,4,0,1,0,0,0,0,0,0,0.292,0.346,0.431,0.777
17,2021-04-21,4,3,0,0,0,0,0,0,0,0,0.28,0.341,0.413,0.755
18,2021-04-23,4,3,1,0,0,0,0,0,1,1,0.269,0.337,0.397,0.735
19,2021-04-24,4,4,1,1,0,0,0,0,0,0,0.268,0.333,0.39,0.724
20,2021-04-25,4,4,1,1,0,0,0,0,0,0,0.267,0.33,0.384,0.714
21,2021-04-26,4,4,0,1,0,0,0,0,0,2,0.267,0.327,0.378,0.704
22,2021-04-27,4,4,1,2,1,0,0,2,0,0,0.277,0.333,0.394,0.727
23,2021-04-28,4,4,0,2,0,0,0,0,0,1,0.286,0.34,0.398,0.738
24,2021-04-29,4,4,0,0,0,0,0,0,0,0,0.275,0.327,0.382,0.71
25,2021-04-30,5,4,1,1,0,0,0,0,0,1,0.274,0.33,0.377,0.708
26,April,115,106,13,29,3,1,2,6,7,12,0.274,0.33,0.377,0.708
27,2021-05-01,6,6,1,4,1,0,0,0,0,0,0.295,0.347,0.402,0.749
28,2021-05-02,5,3,0,0,0,0,0,0,2,0,0.287,0.349,0.391,0.74
29,2021-05-03,4,4,1,2,1,1,0,0,0,0,0.294,0.354,0.42,0.774
30,2021-05-05,4,4,0,1,1,0,0,0,0,2,0.293,0.351,0.423,0.774
