,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2020-07-24,1,0,0.00,6.0,2,0,0,4,9,1.00
1,2020-07-29,0,0,0.00,6.0,1,0,0,2,8,0.75
2,July,1,0,0.00,12.0,3,0,0,6,17,0.75
3,2020-08-04,0,0,0.49,6.1,3,1,1,3,7,0.82
4,2020-08-09,1,0,1.16,5.0,4,2,1,3,6,0.94
5,2020-08-14,1,0,1.11,9.0,2,1,0,0,6,0.74
6,2020-08-19,0,0,1.37,7.0,8,2,2,0,6,0.81
7,2020-08-24,1,0,1.59,6.0,5,2,1,2,8,0.86
8,2020-08-29,0,1,1.93,6.0,5,3,1,3,6,0.92
9,August,3,1,2.52,39.1,27,11,6,11,39,0.97
10,2020-09-03,0,1,2.67,6.0,8,6,2,2,7,0.99
11,2020-09-08,1,0,2.52,7.0,4,1,1,2,6,0.98
12,2020-09-13,1,0,2.40,7.0,3,1,0,2,10,0.95
13,2020-09-19,0,0,2.53,7.0,7,3,1,0,5,0.96
14,2020-09-24,0,1,3.32,5.2,12,9,3,2,5,1.06
15,September,2,2,5.51,32.2,34,20,7,8,33,1.29
