,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2021-04-04,0,0,0.00,0,0,6.0,1,0,0,0,1,3,0.33
1,2021-04-16,0,0,0.00,0,0,3.0,2,0,0,0,3,4,0.78
2,2021-04-28,0,0,0.00,0,0,2.0,1,0,0,0,0,2,0.73
3,April,0,0,0.00,0,0,11.0,4,0,0,0,4,9,0.73
4,2021-05-09,0,0,0.00,0,0,1.1,2,0,0,0,0,0,0.81
5,2021-05-13,0,0,1.84,0,0,2.1,2,3,3,1,2,6,0.95
6,2021-05-16,0,1,2.16,0,0,2.0,2,1,1,0,1,0,1.02
7,2021-05-25,0,0,2.29,0,0,3.0,6,1,1,1,1,3,1.22
8,2021-05-30,0,1,2.86,1,0,2.1,3,4,2,0,2,2,1.32
9,May,0,2,5.73,1,0,11.0,15,9,7,2,6,11,1.91
10,2021-06-04,0,1,3.62,1,0,5.1,6,4,4,1,0,5,1.28
11,2021-06-10,0,0,3.77,1,0,3.2,4,2,2,0,3,3,1.35
12,2021-06-17,0,0,4.08,1,0,4.1,5,3,3,0,2,1,1.39
13,2021-06-23,0,0,4.05,1,0,4.2,3,2,2,1,3,5,1.38
14,2021-06-28,0,1,4.06,1,0,4.1,6,3,2,1,2,4,1.42
15,June,0,2,5.24,5,0,22.1,24,14,13,3,10,18,1.52
16,2021-07-03,0,0,3.72,0,0,4.0,3,0,0,0,1,9,1.39
17,July,0,0,0.00,0,0,4.0,3,0,0,0,1,9,1.00
18,2021-09-10,0,0,3.68,0,0,3.0,2,2,1,0,0,2,1.34
19,2021-09-14,0,0,3.48,0,0,3.0,0,0,0,0,1,2,1.29
20,2021-09-17,0,0,3.36,0,0,2.0,0,0,0,0,0,3,1.24
21,2021-09-21,0,0,3.28,0,0,1.1,0,0,0,0,0,3,1.21
22,2021-09-25,0,0,3.20,0,0,1.1,2,0,0,0,0,2,1.22
23,2021-09-28,1,0,3.21,0,0,2.2,2,1,1,0,1,1,1.22
24,2021-09-30,1,0,3.14,0,0,1.1,1,0,0,0,1,1,1.22
25,September,2,0,1.23,0,0,14.2,7,3,2,0,3,14,0.68
26,2021-10-02,0,0,3.55,0,0,0.1,4,3,3,1,0,1,1.28
27,October,0,0,81.00,0,0,0.1,4,3,3,1,0,1,12.00
