,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2018-03-30,1,0,0.00,6.0,5,0,0,1,10,1.00
1,March,1,0,0.00,6.0,5,0,0,1,10,1.00
2,2018-04-04,0,1,1.64,5.0,6,2,1,2,7,1.27
3,2018-04-09,1,0,0.90,9.0,2,0,0,0,10,0.80
4,2018-04-14,1,0,1.33,7.0,1,2,1,1,11,0.67
5,2018-04-20,1,0,1.36,6.0,4,1,0,3,9,0.76
6,2018-04-25,1,0,1.62,6.0,5,2,0,2,10,0.82
7,April,4,1,1.91,33.0,18,7,2,8,47,0.79
8,2018-05-01,1,0,1.79,6.1,3,2,1,2,8,0.82
9,2018-05-06,0,0,1.74,6.1,5,1,0,2,15,0.85
10,2018-05-11,1,0,1.69,7.0,4,1,1,0,11,0.82
11,2018-05-19,0,0,1.78,7.0,5,2,1,3,13,0.85
12,2018-05-25,1,0,2.13,6.0,7,4,1,2,4,0.91
13,2018-05-30,1,0,1.92,8.0,2,0,0,1,12,0.85
14,May,4,0,2.21,40.2,26,10,4,10,63,0.89
15,2018-06-05,1,0,1.95,8.0,5,2,0,0,13,0.83
16,2018-06-10,0,1,2.00,7.0,4,2,1,3,9,0.85
17,2018-06-16,0,1,2.06,6.0,4,2,1,1,10,0.84
18,2018-06-21,0,0,2.09,7.0,5,2,2,1,9,0.85
19,2018-06-26,0,1,2.04,7.0,4,1,0,3,4,0.85
20,June,1,3,2.31,35.0,22,9,4,8,45,0.86
21,2018-07-02,0,1,2.16,6.0,4,3,0,3,9,0.87
22,2018-07-07,1,0,2.33,7.0,7,4,3,2,3,0.89
23,2018-07-12,1,0,2.41,7.0,5,3,2,2,5,0.90
24,2018-07-22,1,0,2.43,6.0,8,2,0,1,7,0.92
25,2018-07-27,1,0,2.30,8.0,3,0,0,1,11,0.90
26,July,4,1,3.18,34.0,27,12,5,9,35,1.06
27,2018-08-02,1,0,2.33,6.0,4,2,1,2,10,0.91
28,2018-08-07,0,0,2.28,7.0,4,1,1,1,6,0.90
29,2018-08-12,0,0,2.19,7.0,3,0,0,1,11,0.88
30,2018-08-17,1,0,2.11,6.0,5,0,0,1,7,0.89
31,2018-08-23,0,1,2.13,7.0,2,2,1,4,10,0.89
32,2018-08-28,0,0,2.22,5.0,4,3,2,0,5,0.88
33,August,2,1,1.89,38.0,22,8,5,9,49,0.82
34,2018-09-03,0,0,2.28,7.0,4,3,1,1,11,0.88
35,2018-09-08,1,0,2.31,9.0,9,3,0,0,11,0.88
36,2018-09-14,0,1,2.53,4.0,7,6,0,3,6,0.91
37,2018-09-20,0,0,2.57,7.0,5,3,2,2,13,0.92
38,2018-09-25,1,0,2.53,7.0,5,1,0,0,10,0.91
39,September,2,1,4.24,34.0,30,16,3,6,51,1.06
