,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2021-04-21,1,0,1.80,1,0,5.0,2,1,1,0,2,6,0.80
1,2021-04-26,0,1,3.27,1,0,6.0,5,3,3,1,0,5,0.82
2,April,1,1,3.27,2,0,11.0,7,4,4,1,2,11,0.82
3,2021-05-01,0,1,4.50,1,0,5.0,5,4,4,0,3,1,1.06
4,2021-05-06,0,0,4.74,1,0,3.0,7,4,2,0,0,3,1.26
5,2021-05-13,1,0,3.91,1,0,6.1,6,1,1,0,1,7,1.22
6,2021-05-18,1,0,2.88,1,0,9.0,0,0,0,0,2,9,0.96
7,2021-05-24,0,0,3.12,1,0,6.0,7,3,3,0,1,3,1.02
8,2021-05-29,1,0,2.93,1,0,5.2,3,1,1,0,3,6,1.02
9,May,3,1,2.83,6,0,35.0,28,13,11,0,10,29,1.09
10,2021-06-04,0,0,2.88,1,0,4.0,2,1,1,1,0,4,0.98
11,June,0,0,2.25,1,0,4.0,2,1,1,1,0,4,0.50
