,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2019-04-22,0,1,11.25,4.0,9,5,2,1,3,2.50
1,April,0,1,11.25,4.0,9,5,2,1,3,2.50
2,2019-05-04,0,0,8.44,1.1,0,0,0,1,0,2.06
3,2019-05-07,0,0,6.14,2.0,2,0,0,1,4,1.91
4,2019-05-10,0,0,5.40,1.0,2,0,0,0,0,1.92
5,2019-05-12,0,0,6.10,2.0,2,2,1,1,2,1.84
6,2019-05-16,0,0,5.11,2.0,0,0,0,0,1,1.54
7,2019-05-21,0,0,4.40,2.0,1,0,0,0,4,1.40
8,2019-05-25,0,0,3.86,2.0,1,0,0,2,1,1.41
9,2019-05-28,0,0,3.63,1.0,1,0,0,0,1,1.38
10,May,0,0,1.35,13.1,9,2,1,5,13,1.05
11,2019-06-01,1,0,3.26,2.0,2,0,0,2,2,1.45
12,2019-06-05,0,0,2.82,3.0,1,0,0,1,7,1.34
13,2019-06-09,0,0,2.70,1.0,0,0,0,1,2,1.33
14,2019-06-12,1,0,2.49,2.0,1,0,0,1,3,1.30
15,2019-06-15,0,0,2.63,2.0,3,1,0,1,1,1.35
16,2019-06-19,0,0,2.35,3.1,1,0,0,0,4,1.24
17,2019-06-22,0,0,2.27,1.0,0,0,0,0,1,1.20
18,2019-06-26,0,1,2.94,2.0,4,3,0,3,4,1.34
19,June,2,1,2.20,16.1,12,4,0,9,24,1.29
20,2019-07-01,0,0,3.26,5.0,6,3,2,1,2,1.34
21,2019-07-06,0,1,4.01,4.0,7,5,1,3,5,1.45
22,2019-07-15,0,1,4.25,6.0,8,4,1,1,3,1.46
23,2019-07-20,1,0,4.14,1.1,1,0,0,0,3,1.44
24,2019-07-22,0,0,4.33,2.0,2,2,1,1,0,1.44
25,2019-07-26,1,0,4.19,1.2,0,0,0,0,1,1.40
26,2019-07-30,0,0,3.99,5.0,3,1,0,1,6,1.35
27,July,2,2,5.40,25.0,27,15,5,7,20,1.36
28,2019-08-04,0,1,4.24,5.0,9,4,2,1,5,1.40
29,2019-08-10,1,0,4.00,6.0,3,1,1,1,10,1.33
30,2019-08-16,0,0,3.76,7.0,2,1,0,2,4,1.27
31,2019-08-21,1,0,3.62,5.1,6,1,0,2,6,1.28
32,2019-08-27,0,0,3.52,5.0,4,1,1,2,2,1.28
33,August,2,1,2.54,28.1,24,8,4,8,27,1.13
34,2019-09-02,0,0,3.45,4.1,5,1,0,2,6,1.29
35,2019-09-08,0,0,3.59,4.0,4,3,0,1,6,1.29
36,2019-09-13,0,1,3.84,3.0,4,4,1,3,5,1.32
37,2019-09-18,0,1,3.83,5.0,3,2,1,0,5,1.29
38,2019-09-24,0,0,3.86,4.0,3,2,0,0,3,1.27
39,2019-09-29,0,0,3.72,4.0,1,0,0,1,5,1.24
40,September,0,2,4.44,24.1,20,12,2,7,30,1.11
