,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2019-03-20,1,0,4.50,1,0,6.0,7,4,3,2,1,4,1.33
1,2019-03-28,1,0,4.76,1,0,5.1,9,4,3,0,1,4,1.59
2,March,2,0,4.76,2,0,11.1,16,8,6,2,2,8,1.59
3,2019-04-02,1,0,3.20,1,0,8.1,4,1,1,0,1,3,1.17
4,2019-04-09,1,0,3.16,1,0,6.0,6,3,2,0,2,5,1.21
5,2019-04-14,0,0,3.19,1,0,5.1,5,2,2,0,2,3,1.23
6,2019-04-19,0,0,3.32,1,0,7.0,8,3,3,1,2,6,1.26
7,2019-04-25,1,0,2.80,1,0,7.0,6,0,0,0,0,9,1.20
8,April,3,0,2.14,5,0,33.2,29,9,8,1,7,26,1.07
9,2019-05-01,0,1,3.28,1,0,1.2,5,6,3,1,3,2,1.33
10,2019-05-07,0,0,3.08,1,0,6.0,3,1,1,0,1,3,1.25
11,2019-05-12,0,1,3.18,1,0,4.0,4,4,2,1,3,3,1.29
12,2019-05-17,0,1,3.65,1,0,5.0,8,6,5,1,2,3,1.35
13,2019-05-22,0,1,3.41,1,0,7.0,7,2,1,1,1,3,1.33
14,2019-05-28,0,1,3.96,1,0,4.0,8,8,6,1,0,4,1.36
15,May,0,5,5.86,6,0,27.2,35,27,18,5,10,18,1.63
16,2019-06-02,0,1,4.89,1,0,4.2,9,10,10,1,3,2,1.44
17,2019-06-07,1,0,4.77,1,0,5.2,2,2,2,1,3,5,1.40
18,2019-06-14,1,0,4.50,1,0,7.0,7,2,1,0,2,3,1.39
19,2019-06-19,1,0,4.38,1,0,6.2,6,2,2,0,1,5,1.37
20,2019-06-25,1,0,4.34,1,0,5.0,8,3,2,1,0,4,1.38
21,2019-06-30,0,1,4.39,1,0,5.0,6,3,3,0,3,5,1.40
22,June,4,2,5.29,6,0,34.0,38,22,20,3,12,24,1.47
23,2019-07-06,1,0,4.24,1,0,8.0,5,2,2,1,1,6,1.35
24,2019-07-16,0,1,4.48,1,0,6.0,7,6,6,2,1,5,1.35
25,2019-07-22,1,0,4.37,1,0,7.0,7,2,2,0,0,4,1.33
26,2019-07-27,1,0,4.21,1,0,7.0,6,1,1,0,0,8,1.31
27,July,3,1,3.54,4,0,28.0,25,11,11,3,2,23,0.96
28,2019-08-03,0,1,4.32,1,0,5.0,8,4,4,1,2,2,1.33
29,2019-08-09,0,0,4.25,1,0,6.1,7,2,2,0,2,9,1.34
30,2019-08-14,0,1,4.26,1,0,6.0,11,3,3,0,1,6,1.36
31,2019-08-19,1,0,4.30,1,0,5.0,5,3,3,2,2,5,1.36
32,2019-08-25,1,0,4.17,1,0,7.0,3,1,1,0,2,5,1.34
33,2019-08-30,0,1,4.30,1,0,5.2,7,6,5,1,2,2,1.34
34,August,2,3,4.63,6,0,35.0,41,19,18,4,11,29,1.49
35,2019-09-05,0,0,4.37,1,0,5.1,7,5,4,2,5,0,1.37
36,2019-09-11,1,0,4.30,1,0,7.0,5,2,2,1,2,7,1.36
37,2019-09-17,1,0,4.14,1,0,7.0,6,0,0,0,0,4,1.34
38,2019-09-22,0,1,4.09,1,0,7.0,3,2,2,1,2,4,1.32
39,2019-09-28,0,1,3.99,1,0,7.0,5,1,1,1,3,4,1.31
40,September,2,2,2.43,5,0,33.1,26,10,9,5,12,19,1.14
