,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2019-03-28,0,1,7.50,1,0,6.0,6,5,5,3,2,3,1.33
1,March,0,1,7.50,1,0,6.0,6,5,5,3,2,3,1.33
2,2019-04-02,1,0,3.46,1,0,7.0,2,0,0,0,1,13,0.85
3,2019-04-08,1,0,2.84,1,0,6.0,6,1,1,1,0,11,0.89
4,2019-04-13,0,0,2.16,1,0,6.0,1,0,0,0,1,9,0.76
5,2019-04-24,0,1,2.54,1,0,3.1,5,3,2,1,2,3,0.92
6,April,2,1,1.21,4,0,22.1,14,4,3,2,4,36,0.81
7,2019-05-01,0,1,4.31,1,0,3.0,6,7,7,1,3,2,1.12
8,2019-05-06,1,0,3.62,1,0,6.0,1,0,0,0,0,9,0.96
9,2019-05-12,0,1,3.56,1,0,5.2,4,2,2,0,2,12,0.98
10,2019-05-18,0,0,3.31,1,0,6.0,6,1,1,0,1,9,1.00
11,2019-05-24,0,0,3.07,1,0,6.2,4,1,1,1,3,7,1.01
12,2019-05-29,0,0,3.06,1,0,6.0,6,2,2,1,2,5,1.04
13,May,1,2,3.51,6,0,33.1,27,13,13,3,11,44,1.14
14,2019-06-04,0,1,3.68,1,0,4.1,7,6,6,1,2,8,1.11
15,2019-06-09,1,0,3.50,1,0,6.0,5,1,1,0,1,7,1.10
16,2019-06-14,0,0,3.70,1,0,3.1,5,4,3,0,4,3,1.17
17,2019-06-19,0,1,4.40,1,0,0.1,2,6,6,1,4,0,1.24
18,2019-06-25,0,1,5.01,1,0,3.1,11,7,7,1,1,4,1.34
19,2019-06-30,1,0,4.87,1,0,6.0,3,2,2,1,0,12,1.28
20,June,2,3,9.64,6,0,23.1,33,26,25,4,12,34,1.93
21,2019-07-06,0,0,4.70,1,0,5.0,5,1,1,1,2,5,1.29
22,2019-07-15,0,0,4.55,1,0,5.0,3,1,1,1,2,4,1.27
23,2019-07-21,1,0,4.28,1,0,6.0,3,0,0,0,2,10,1.25
24,July,1,0,1.13,3,0,16.0,11,2,2,2,6,19,1.06
25,2019-09-17,0,0,4.19,1,0,2.0,0,0,0,0,0,4,1.22
26,2019-09-23,0,0,4.21,1,0,1.2,2,1,1,0,3,3,1.25
27,2019-09-29,0,1,4.29,1,0,2.1,3,2,2,0,2,4,1.27
28,September,0,1,4.50,3,0,6.0,5,3,3,0,5,11,1.67
