,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2021-04-03,0,0,27.00,1.0,3,3,1,1,1,4.00
1,2021-04-07,0,0,6.75,3.0,4,0,0,0,2,2.00
2,2021-04-11,0,1,9.00,1.0,3,2,0,0,1,2.20
3,2021-04-17,0,0,10.13,0.1,2,1,0,0,1,2.44
4,April,0,1,10.13,5.1,12,6,1,1,5,2.44
5,2021-05-06,0,0,7.36,2.0,0,0,0,0,5,1.77
6,2021-05-12,0,0,5.79,2.0,0,0,0,1,2,1.50
7,2021-05-16,0,0,5.23,1.0,0,0,0,1,2,1.45
8,2021-05-18,0,0,4.38,2.0,0,0,0,0,3,1.22
9,2021-05-21,0,0,4.15,0.2,0,0,0,2,1,1.31
10,2021-05-24,0,0,4.30,1.2,3,1,0,0,3,1.36
11,2021-05-27,0,0,4.02,1.0,1,0,0,1,2,1.40
12,2021-05-30,0,0,3.86,0.2,2,0,0,0,0,1.47
13,May,0,0,0.82,11.0,6,1,0,5,18,1.00
14,2021-06-02,0,0,3.44,2.0,2,0,0,1,5,1.47
15,2021-06-09,0,0,2.95,3.0,1,0,0,0,3,1.31
16,2021-06-12,1,0,2.70,2.0,1,0,0,0,5,1.24
17,2021-06-18,0,0,2.39,3.0,2,0,0,0,3,1.18
18,2021-06-22,0,0,2.15,3.0,0,0,0,0,3,1.06
19,2021-06-25,1,0,2.05,1.1,1,0,0,0,2,1.04
20,June,2,0,0.00,14.1,7,0,0,1,21,0.56
21,2021-07-04,0,0,1.87,3.0,1,0,0,0,6,0.98
22,2021-07-07,0,0,1.77,2.0,0,0,0,0,3,0.93
23,2021-07-11,0,0,1.67,2.0,1,0,0,0,1,0.90
24,2021-07-18,0,0,1.59,2.0,2,0,0,0,2,0.91
25,2021-07-21,1,0,1.51,2.0,1,0,0,1,3,0.91
26,July,1,0,0.00,11.0,5,0,0,1,15,0.55
27,2021-08-07,0,0,1.48,1.0,1,0,0,1,2,0.94
28,2021-08-12,1,0,1.41,2.0,1,0,0,0,3,0.92
29,2021-08-16,0,0,1.35,2.0,0,0,0,0,1,0.88
30,2021-08-21,0,0,1.30,1.2,0,0,0,0,1,0.85
31,2021-08-25,1,0,1.43,2.0,3,1,1,0,0,0.87
32,2021-08-29,0,0,1.40,1.0,0,0,0,1,0,0.88
33,August,2,0,0.93,9.2,5,1,1,2,7,0.72
34,2021-09-01,0,0,1.52,2.0,2,1,1,0,2,0.88
35,2021-09-06,1,0,1.46,2.0,2,0,0,2,1,0.92
36,2021-09-13,0,0,1.40,2.1,3,0,0,0,1,0.94
37,2021-09-18,0,0,1.38,1.0,0,0,0,0,0,0.92
38,2021-09-20,0,0,1.34,2.0,0,0,0,0,2,0.89
39,2021-09-25,0,0,1.60,1.1,5,2,0,0,1,0.95
40,2021-09-30,0,0,1.57,1.0,1,0,0,0,0,0.95
41,September,1,0,2.31,11.2,13,3,1,2,7,1.29
42,2021-10-03,0,0,1.55,1.0,0,0,0,0,1,0.94
43,October,0,0,0.00,1.0,0,0,0,0,1,0.00
