,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2019-06-05,0,1,12.00,3.0,4,4,1,3,2,2.33
1,2019-06-15,0,0,10.29,4.0,5,4,0,3,6,2.14
2,2019-06-20,0,1,9.75,5.0,7,5,1,4,5,2.17
3,2019-06-25,0,0,8.36,2.0,2,0,0,4,2,2.29
4,June,0,2,8.36,14.0,18,13,2,14,15,2.29
5,2019-09-05,0,0,7.31,2.0,3,0,0,0,1,2.19
6,2019-09-08,0,0,8.27,0.1,2,2,1,1,1,2.33
7,2019-09-13,0,0,8.50,1.2,2,2,1,1,3,2.28
8,2019-09-21,0,0,8.05,1.0,0,0,0,0,1,2.16
9,2019-09-27,0,0,7.65,1.0,0,0,0,1,1,2.10
10,2019-09-29,0,0,6.95,2.0,0,0,0,0,4,1.91
11,September,0,0,4.50,8.0,7,4,2,3,11,1.25
