,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2020-07-27,0,1,5.79,1,0,4.2,4,3,3,1,2,7,1.29
1,July,0,1,5.79,1,0,4.2,4,3,3,1,2,7,1.29
2,2020-08-01,0,0,3.38,1,0,6.0,6,1,1,0,2,5,1.31
3,2020-08-07,0,1,3.14,1,0,3.2,3,4,1,0,6,4,1.60
4,2020-08-12,0,1,4.42,1,0,4.0,6,4,4,3,0,2,1.58
5,2020-08-17,0,0,4.70,1,0,4.2,6,3,3,1,0,2,1.52
6,2020-08-22,0,0,4.88,1,0,4.2,6,3,3,1,2,3,1.55
7,2020-08-30,0,0,4.04,1,0,8.0,4,1,1,1,1,7,1.35
8,August,0,2,3.77,6,0,31.0,31,16,13,6,11,23,1.35
9,2020-09-05,0,0,4.54,1,0,4.0,4,4,4,1,2,4,1.36
10,2020-09-11,0,0,4.57,1,0,5.2,7,3,3,0,1,5,1.37
11,2020-09-17,1,0,4.29,1,0,5.0,6,2,1,0,2,7,1.39
12,2020-09-22,1,0,3.99,1,0,6.0,2,1,1,0,5,10,1.37
13,September,2,0,3.92,4,0,20.2,19,10,9,1,10,26,1.40
