,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2019-04-13,0,1,3.18,5.2,5,2,1,0,3,0.88
1,2019-04-24,0,0,2.13,7.0,3,1,0,2,3,0.79
2,April,0,1,2.13,12.2,8,3,1,2,6,0.79
3,2019-05-07,0,1,2.41,6.0,7,2,0,3,6,1.07
4,2019-05-12,1,0,2.92,6.0,6,3,1,3,3,1.18
5,2019-05-17,0,1,3.45,6.2,7,4,2,1,5,1.18
6,2019-05-22,0,1,4.08,4.0,7,4,1,4,3,1.36
7,2019-05-27,0,1,4.99,4.1,8,6,0,3,6,1.49
8,May,1,4,6.33,27.0,35,19,4,14,23,1.81
9,2019-06-01,0,0,4.74,4.0,2,1,0,3,3,1.47
10,June,0,0,2.25,4.0,2,1,0,3,3,1.25
11,2019-09-26,0,0,4.63,1.0,1,0,0,1,0,1.48
12,2019-09-28,0,0,4.63,2.0,2,1,0,1,1,1.48
13,September,0,0,3.00,3.0,3,1,0,2,1,1.67
