,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2020-07-24,0,1,12.00,1,0,3.0,4,4,4,0,3,5,2.33
1,July,0,1,12.00,1,0,3.0,4,4,4,0,3,5,2.33
2,2020-08-02,0,0,5.63,1,0,5.0,6,1,1,1,0,8,1.63
3,2020-08-07,1,0,3.21,1,0,6.0,3,0,0,0,0,3,1.14
4,2020-08-14,0,1,4.00,1,0,4.0,9,6,3,0,0,2,1.39
5,2020-08-19,0,1,4.13,1,0,6.0,7,3,3,2,0,7,1.33
6,2020-08-25,0,1,3.99,1,0,5.1,4,4,2,2,1,6,1.26
7,2020-08-30,0,0,5.68,1,0,2.1,8,7,7,2,0,2,1.42
8,August,1,3,5.02,6,0,28.2,37,21,16,7,1,28,1.33
9,2020-09-04,0,0,5.30,1,0,4.0,6,1,1,0,0,3,1.43
10,2020-09-09,0,0,6.69,1,0,3.1,8,8,8,2,2,4,1.56
11,September,0,0,11.05,2,0,7.1,14,9,9,2,2,7,2.18
