,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,March,1,0,7.36,0,0,3.2,5,3,3,0,3,6,2.18
1,2019-03-31,1,0,7.36,0,0,3.2,5,3,3,0,3,6,2.18
2,2019-04-05,0,0,5.68,0,0,2.2,3,2,1,0,4,2,2.37
3,2019-04-10,0,0,7.56,0,0,2.0,3,3,3,0,2,4,2.40
4,2019-04-15,0,0,5.02,1,0,6.0,7,1,1,0,2,5,2.02
5,2019-04-20,1,0,5.31,1,0,6.0,6,4,4,2,1,2,1.77
6,2019-04-26,1,0,4.44,1,0,6.0,6,1,1,0,0,4,1.59
7,April,2,0,3.97,3,0,22.2,25,11,10,2,9,17,1.50
8,2019-05-01,1,0,3.41,1,0,8.0,4,0,0,0,2,7,1.40
9,2019-05-06,1,0,2.83,1,0,7.0,2,0,0,0,2,9,1.26
10,2019-05-12,0,1,3.11,1,0,5.0,4,3,3,2,2,7,1.25
11,2019-05-17,1,0,2.89,1,0,6.2,5,1,1,0,4,7,1.26
12,2019-05-23,1,0,2.95,1,0,5.0,6,2,2,1,4,3,1.33
13,2019-05-30,0,1,3.71,1,0,2.2,6,6,6,0,2,3,1.40
14,May,4,2,3.15,6,0,34.1,27,12,12,3,16,36,1.25
15,2019-06-05,0,0,3.72,1,0,4.2,6,5,2,0,2,1,1.42
16,2019-06-11,0,0,3.97,1,0,5.0,6,4,4,1,3,7,1.45
17,2019-06-16,0,1,4.09,1,0,6.2,6,5,4,0,1,7,1.42
18,2019-06-21,0,0,4.28,1,0,5.0,5,6,4,1,3,2,1.43
19,2019-06-27,0,0,4.15,1,0,7.0,3,2,2,0,1,6,1.36
20,June,0,1,5.08,5,0,28.1,26,22,16,2,10,23,1.27
21,2019-07-05,1,0,4.26,1,0,6.0,7,4,4,0,2,3,1.37
22,2019-07-17,0,0,4.10,1,0,6.0,5,2,1,1,1,4,1.35
23,2019-07-22,0,0,4.37,1,0,4.0,7,5,5,3,4,4,1.40
24,2019-07-27,0,1,4.38,1,0,6.0,7,3,3,1,1,4,1.40
25,July,1,1,5.32,4,0,22.0,26,14,13,5,8,15,1.55
26,2019-08-02,0,0,4.58,1,0,5.0,7,5,5,3,0,3,1.40
27,2019-08-07,0,1,4.87,1,0,6.0,12,7,7,3,2,6,1.44
28,2019-08-13,0,0,4.64,1,0,6.0,6,1,0,0,4,3,1.45
29,2019-08-18,0,0,4.60,1,0,5.0,5,2,2,0,4,2,1.47
30,2019-08-25,1,0,4.53,1,0,6.0,5,2,2,0,1,5,1.45
31,2019-08-31,0,1,4.89,1,0,2.2,9,8,7,1,2,4,1.50
32,August,1,2,6.75,6,0,30.2,44,25,23,7,13,23,1.86
33,2019-09-05,1,0,4.75,1,0,6.0,2,1,1,1,2,1,1.46
34,2019-09-11,0,1,4.89,1,0,5.0,6,5,5,1,3,4,1.47
35,2019-09-17,0,0,4.92,1,0,4.2,10,3,3,0,0,4,1.49
36,2019-09-22,0,0,5.13,1,0,2.1,8,5,5,1,0,1,1.52
37,2019-09-29,0,0,5.12,1,0,5.2,5,3,3,1,3,5,1.52
38,September,1,1,6.46,5,0,23.2,31,17,17,4,8,15,1.65
