,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2019-03-28,0,0,18.00,0,0,1.0,2,2,2,1,0,0,2.00
1,March,0,0,9.00,0,0,2.0,2,2,2,1,0,1,1.00
2,2019-03-31,0,0,9.00,0,0,1.0,0,0,0,0,0,1,1.00
3,2019-04-03,0,0,6.00,0,0,1.0,0,0,0,0,0,1,0.67
4,2019-04-05,0,0,4.91,0,0,0.2,0,0,0,0,0,1,0.55
5,2019-04-07,0,0,3.86,0,1,1.0,0,0,0,0,0,2,0.43
6,2019-04-09,0,0,3.18,0,0,1.0,0,0,0,0,2,1,0.71
7,2019-04-14,0,0,2.84,0,0,0.2,1,0,0,0,0,2,0.79
8,2019-04-17,0,0,2.57,0,1,0.2,1,0,0,0,0,2,0.86
9,2019-04-19,0,0,2.25,0,0,1.0,0,0,0,0,0,3,0.75
10,2019-04-20,0,0,1.86,0,1,1.2,0,0,0,0,0,2,0.62
11,2019-04-25,0,1,3.18,0,0,1.2,4,2,2,1,0,2,0.88
12,2019-04-27,0,0,2.92,0,1,1.0,1,0,0,0,1,2,0.97
13,2019-04-30,0,0,2.70,0,0,1.0,1,0,0,0,0,1,0.98
14,April,0,1,1.59,0,4,11.1,8,2,2,1,3,19,0.97
15,2019-05-01,0,0,2.63,0,0,0.1,0,0,0,0,0,0,0.95
16,2019-05-03,0,0,2.45,0,1,1.0,1,0,0,0,0,2,0.95
17,2019-05-10,0,0,2.35,0,0,0.2,0,1,0,0,2,1,1.04
18,2019-05-15,0,0,2.20,0,0,1.0,0,0,0,0,1,1,1.04
19,2019-05-17,0,0,2.08,0,1,1.0,0,0,0,0,0,1,0.98
20,2019-05-18,0,0,1.86,0,1,2.0,0,0,0,0,0,1,0.88
21,2019-05-20,1,0,1.77,0,0,1.0,1,0,0,0,0,1,0.89
22,2019-05-23,0,0,2.08,0,1,1.1,2,1,1,0,1,2,0.97
23,2019-05-24,0,0,1.99,0,1,1.0,0,0,0,0,0,3,0.93
24,2019-05-28,0,0,1.90,0,1,1.0,0,0,0,0,0,2,0.89
25,May,1,0,0.87,0,6,10.1,4,2,1,0,4,14,0.77
26,2019-06-01,0,1,2.25,0,0,0.1,1,1,1,1,0,0,0.92
27,2019-06-04,0,0,2.16,0,1,1.0,1,0,0,0,0,2,0.92
28,2019-06-05,0,0,2.03,0,1,1.2,0,0,0,0,1,2,0.90
29,2019-06-07,0,0,1.95,0,1,1.0,1,0,0,0,1,2,0.94
30,2019-06-11,0,0,1.88,0,1,1.0,0,0,0,0,0,0,0.91
31,2019-06-14,0,1,2.76,0,0,0.2,3,3,3,0,1,1,1.02
32,2019-06-15,0,0,2.67,0,1,1.0,0,0,0,0,0,0,0.99
33,2019-06-21,0,0,2.59,0,0,1.0,0,0,0,0,0,2,0.96
34,2019-06-25,0,0,2.48,0,1,1.1,1,0,0,0,1,2,0.98
35,2019-06-26,0,0,2.41,0,0,1.0,0,0,0,0,0,1,0.95
36,2019-06-27,0,0,3.18,0,0,0.1,4,3,3,1,0,0,1.06
37,June,0,2,6.10,0,6,10.1,11,7,7,2,4,12,1.45
38,2019-07-02,0,0,3.09,0,1,1.0,0,0,0,0,0,3,1.03
39,2019-07-05,0,0,3.00,0,0,1.0,0,0,0,0,1,0,1.03
40,2019-07-07,0,0,3.16,0,0,1.0,2,1,1,1,1,0,1.08
41,2019-07-13,0,1,3.52,0,0,1.1,2,2,2,1,1,1,1.12
42,2019-07-14,1,0,3.43,0,0,1.0,0,0,0,0,0,3,1.09
43,2019-07-16,0,0,4.08,0,0,0.1,2,3,3,1,1,1,1.16
44,2019-07-18,0,0,4.20,0,1,1.0,1,1,1,1,0,1,1.16
45,2019-07-21,0,0,4.10,0,0,1.0,0,0,0,0,1,0,1.15
46,2019-07-23,0,0,4.01,0,0,1.0,0,0,0,0,0,2,1.13
47,2019-07-24,0,0,3.92,0,0,1.0,0,0,0,0,0,3,1.10
48,2019-07-27,0,0,3.83,0,0,1.0,1,0,0,0,0,2,1.10
49,2019-07-30,0,0,3.74,0,1,1.0,0,0,0,0,0,1,1.07
50,2019-07-31,0,0,3.66,0,0,1.0,0,0,0,0,0,1,1.05
51,July,1,1,4.97,0,3,12.2,8,7,7,4,5,18,1.03
52,2019-08-05,0,0,3.59,0,0,1.0,0,0,0,0,0,1,1.03
53,2019-08-09,0,0,3.51,0,1,1.0,0,0,0,0,0,2,1.01
54,2019-08-13,0,0,3.44,0,1,1.0,0,0,0,0,1,1,1.01
55,2019-08-16,0,0,3.38,0,0,1.0,0,0,0,0,0,1,0.99
56,2019-08-18,0,0,3.31,0,0,1.0,1,0,0,0,0,2,0.99
57,2019-08-20,0,0,3.25,0,1,1.0,1,0,0,0,0,0,0.99
58,2019-08-21,0,0,3.19,0,1,1.0,0,0,0,0,0,1,0.97
59,2019-08-26,0,0,3.29,0,0,1.0,2,1,1,1,0,1,0.99
60,2019-08-27,0,1,3.23,0,0,1.0,1,1,0,0,2,0,1.02
61,August,0,1,1.00,0,4,9.0,5,2,1,1,3,9,0.89
62,2019-09-01,1,0,3.14,0,0,1.2,0,0,0,0,1,2,1.01
63,2019-09-03,0,0,3.09,0,0,1.0,0,0,0,0,0,3,0.99
64,2019-09-05,0,0,3.03,0,0,1.0,0,0,0,0,1,0,0.99
65,2019-09-06,0,0,3.00,0,0,0.2,2,0,0,0,0,0,1.02
66,2019-09-08,0,0,2.95,0,1,1.0,2,0,0,0,0,2,1.03
67,2019-09-10,0,0,2.90,0,1,1.0,0,0,0,0,0,1,1.02
68,2019-09-12,0,0,2.84,0,1,1.1,0,0,0,0,0,2,0.99
69,2019-09-14,0,1,2.94,0,0,1.0,2,1,1,0,1,1,1.03
70,2019-09-17,0,0,3.03,0,1,1.0,1,1,1,1,2,1,1.06
71,2019-09-18,0,0,2.98,0,1,1.0,0,0,0,0,0,2,1.04
72,2019-09-24,0,0,2.97,0,0,0.1,0,0,0,0,0,0,1.04
73,2019-09-27,0,0,2.93,0,0,1.0,0,0,0,0,0,2,1.02
