,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2020-07-28,0,0,4.50,1,0,4.0,6,2,2,0,1,4,1.75
1,July,0,0,4.50,1,0,4.0,6,2,2,0,1,4,1.75
2,2020-08-04,0,0,1.80,1,0,6.0,1,0,0,0,2,6,1.00
3,2020-08-12,0,0,3.38,0,0,3.1,2,3,3,1,3,6,1.13
4,2020-08-23,0,1,4.41,1,0,3.0,5,3,3,1,2,5,1.35
5,2020-08-28,1,0,3.91,1,0,6.2,2,2,2,2,2,11,1.13
6,August,1,1,3.79,3,0,19.0,10,8,8,4,9,28,1.00
7,2020-09-02,0,0,3.90,1,0,7.0,4,3,3,2,2,3,1.07
8,2020-09-08,0,1,3.41,1,0,7.0,3,3,1,0,1,10,0.97
9,2020-09-13,0,0,3.86,1,0,2.2,4,3,3,0,4,3,1.11
10,2020-09-18,1,0,3.57,1,0,5.2,4,1,1,0,2,8,1.10
11,2020-09-25,0,0,3.59,1,0,2.1,3,1,1,0,2,4,1.15
12,September,1,1,3.28,5,0,24.2,18,11,9,2,11,28,1.18
