,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2018-06-21,0,0,0.00,0,0,1.0,0,0,0,0,0,0,0.00
1,2018-06-22,0,0,0.00,0,0,1.0,1,2,0,0,1,1,1.00
2,June,0,0,0.00,0,0,2.0,1,2,0,0,1,1,1.00
3,2018-07-11,0,0,0.00,0,0,2.0,1,0,0,0,0,0,0.75
4,2018-07-22,0,0,0.00,0,0,1.2,2,0,0,0,1,1,1.06
5,2018-07-24,0,0,1.42,0,0,0.2,3,1,1,0,0,0,1.42
6,July,0,0,2.08,0,0,4.1,6,1,1,0,1,1,1.62
7,2018-08-01,0,0,1.29,0,0,0.2,1,0,0,0,0,1,1.43
8,2018-08-07,0,0,1.00,0,0,2.0,0,0,0,0,0,4,1.11
9,August,0,0,0.00,0,0,2.2,1,0,0,0,0,5,0.38
10,2018-09-03,0,0,0.93,0,0,0.2,0,0,0,0,0,1,1.03
11,2018-09-05,0,0,0.87,0,0,0.2,0,0,0,0,0,1,0.97
12,2018-09-07,0,0,0.77,0,0,1.1,2,0,0,0,0,1,1.03
13,2018-09-09,0,0,2.13,0,0,1.0,2,2,2,1,1,1,1.18
14,2018-09-13,0,0,2.03,0,0,0.2,1,0,0,0,0,2,1.20
15,2018-09-15,0,0,1.88,0,0,1.0,0,0,0,0,0,0,1.12
16,2018-09-25,0,0,1.84,0,0,0.1,2,0,0,0,1,1,1.30
17,September,0,0,3.18,0,0,5.2,7,2,2,1,2,7,1.59
