,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,March,0,1,7.20,5.0,6,4,2,1,5,1.40
1,2019-03-31,0,1,7.20,5.0,6,4,2,1,5,1.40
2,2019-04-06,0,0,4.09,6.0,5,1,0,3,3,1.36
3,2019-04-11,0,0,3.71,6.0,3,2,1,2,5,1.18
4,2019-04-16,0,1,4.30,6.0,8,4,3,2,10,1.30
5,2019-04-21,0,0,4.50,7.0,8,4,1,1,6,1.30
6,2019-04-27,0,0,5.08,3.2,6,4,0,3,2,1.43
7,April,0,1,4.71,28.2,30,15,5,11,26,1.43
8,2019-05-03,0,1,5.09,7.0,5,4,0,2,6,1.35
9,2019-05-08,0,1,6.07,2.1,6,6,3,3,2,1.49
10,2019-05-15,0,1,6.29,5.2,7,5,2,2,7,1.50
11,2019-05-22,0,0,6.04,2.0,0,0,0,1,2,1.46
12,2019-05-25,0,1,6.79,1.0,6,5,0,1,1,1.57
13,2019-05-29,0,0,6.67,5.0,5,3,1,1,8,1.54
14,May,0,4,9.00,23.0,29,23,6,10,26,1.70
15,2019-06-05,0,0,6.75,2.0,3,2,1,1,1,1.55
16,2019-06-13,0,0,6.79,1.0,1,1,0,0,1,1.54
17,2019-06-16,1,0,6.68,2.1,4,1,1,0,2,1.55
18,2019-06-18,0,0,6.64,0.1,0,0,0,0,1,1.54
19,2019-06-21,0,0,6.44,2.0,1,0,0,0,1,1.51
20,2019-06-24,0,0,6.30,1.1,1,0,0,1,2,1.51
21,2019-06-29,0,0,6.12,2.0,0,0,0,1,2,1.48
22,June,1,0,3.27,11.0,10,4,2,3,10,1.18
23,2019-07-02,0,0,6.16,1.0,3,1,0,0,1,1.50
24,2019-07-04,0,1,6.68,0.0,4,4,0,0,0,1.56
25,2019-07-06,0,0,6.62,2.0,3,1,0,0,3,1.56
26,2019-07-12,0,0,6.35,3.0,1,0,0,1,3,1.52
27,2019-07-14,0,0,6.42,2.0,4,2,1,0,2,1.53
28,2019-07-21,0,0,6.26,2.0,0,0,0,0,1,1.49
29,2019-07-25,0,0,6.37,0.0,0,1,0,2,0,1.52
30,2019-07-26,0,0,6.25,3.0,3,1,0,3,1,1.54
31,2019-07-29,0,0,6.22,0.1,0,0,0,0,0,1.53
32,July,0,1,6.75,13.1,18,10,1,6,11,1.80
33,2019-08-03,0,0,6.19,3.1,4,2,1,0,2,1.52
34,2019-08-08,0,0,6.51,1.1,2,4,1,3,2,1.55
35,2019-08-19,1,0,6.25,5.0,2,1,0,2,2,1.51
36,2019-08-25,0,0,6.19,1.0,0,0,0,0,2,1.49
37,2019-08-26,0,0,6.56,1.2,5,5,1,0,3,1.52
38,2019-08-31,0,0,6.61,4.2,4,4,2,2,6,1.51
39,August,1,0,8.47,17.0,17,16,5,7,17,1.41
40,2019-09-06,1,0,6.23,6.0,4,0,0,0,5,1.46
41,2019-09-12,1,0,6.09,5.1,8,2,0,2,2,1.48
42,2019-09-17,0,1,5.93,6.0,4,2,1,1,4,1.45
43,2019-09-22,0,1,6.35,2.1,8,7,2,1,0,1.50
44,2019-09-29,0,0,6.33,6.0,6,4,3,0,3,1.47
45,September,2,2,5.26,25.2,30,15,6,4,14,1.32
