,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2021-04-01,0,0,3.38,5.1,5,2,1,2,8,1.31
1,2021-04-06,1,0,1.46,7.0,4,0,0,0,13,0.89
2,2021-04-12,1,0,1.47,6.0,3,1,0,1,8,0.82
3,2021-04-18,0,1,1.82,6.1,5,2,0,0,10,0.81
4,2021-04-24,1,0,1.71,7.0,3,1,0,0,11,0.73
5,2021-04-30,1,0,1.43,6.0,4,0,0,0,12,0.72
6,April,4,1,1.43,37.2,24,6,1,3,62,0.72
7,2021-05-06,0,0,1.61,7.0,5,2,2,0,4,0.72
8,2021-05-12,1,0,1.37,8.0,4,0,0,0,12,0.68
9,2021-05-17,0,1,2.03,5.0,7,5,2,2,7,0.78
10,2021-05-22,1,0,1.81,7.0,4,0,0,3,7,0.80
11,2021-05-28,0,0,1.78,6.0,6,1,0,1,5,0.83
12,May,2,1,2.18,33.0,26,8,4,6,35,0.97
13,2021-06-03,0,1,2.26,5.0,5,5,1,2,7,0.87
14,2021-06-09,1,0,2.31,6.0,5,2,2,0,9,0.87
15,2021-06-16,1,0,2.31,8.0,4,2,2,1,4,0.85
16,2021-06-22,0,0,2.33,7.0,3,2,1,3,6,0.85
17,2021-06-27,0,1,2.66,5.0,8,5,3,2,6,0.90
18,June,2,2,4.65,31.0,25,16,9,8,32,1.06
19,2021-07-04,0,0,2.91,3.1,6,4,1,3,6,0.96
20,2021-07-10,1,0,2.68,9.0,3,0,0,2,12,0.93
21,2021-07-17,1,0,2.63,6.0,5,1,0,2,11,0.94
22,2021-07-23,0,1,2.74,5.0,6,3,1,2,8,0.97
23,2021-07-29,0,1,3.11,5.1,6,7,1,2,10,0.99
24,July,2,2,4.71,28.2,26,15,3,11,47,1.29
25,2021-08-16,1,0,3.04,5.2,2,1,1,1,9,0.97
26,2021-08-21,1,0,2.92,6.0,5,0,0,1,6,0.97
27,2021-08-27,1,0,2.80,6.0,6,0,0,2,9,0.99
28,August,3,0,0.51,17.2,13,1,1,4,24,0.96
29,2021-09-01,1,0,2.73,7.0,4,1,0,0,15,0.97
30,2021-09-07,0,1,2.78,3.2,5,2,1,2,2,0.99
31,2021-09-14,1,0,2.75,5.0,4,1,0,3,7,1.00
32,2021-09-19,0,1,3.03,5.2,10,7,2,1,7,1.03
33,2021-09-24,1,0,3.08,6.0,5,3,1,3,6,1.04
34,2021-09-29,0,0,3.23,6.0,9,5,2,0,6,1.06
35,September,3,2,5.13,33.1,37,19,6,9,43,1.38
