,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2020-07-26,1,0,3.00,1,0,6.0,5,2,2,0,1,10,1.00
1,July,1,0,3.00,1,0,6.0,5,2,2,0,1,10,1.00
2,2020-08-01,0,1,3.75,1,0,6.0,6,3,3,3,1,5,1.08
3,2020-08-06,1,0,2.50,1,0,6.0,1,0,0,0,4,8,1.00
4,2020-08-12,0,1,3.22,1,0,4.1,4,3,3,1,5,7,1.21
5,2020-08-18,0,0,3.71,1,0,4.1,5,3,3,0,3,5,1.31
6,2020-08-23,0,1,4.50,1,0,3.1,7,4,4,2,1,4,1.43
7,2020-08-29,0,0,3.75,1,0,6.0,2,0,0,0,2,6,1.31
8,August,1,3,3.90,6,0,30.0,25,13,13,6,16,35,1.37
9,2020-09-04,0,0,3.43,1,0,6.0,6,1,1,0,3,7,1.33
10,2020-09-09,0,1,3.12,1,0,7.0,7,1,1,0,0,6,1.29
11,2020-09-15,0,0,3.27,1,0,6.0,8,3,3,1,1,5,1.31
12,2020-09-20,1,0,2.90,1,0,7.0,1,0,0,0,3,11,1.23
13,2020-09-25,0,0,2.91,1,0,6.0,3,2,2,1,3,8,1.21
14,September,1,1,1.97,5,0,32.0,25,7,7,2,10,37,1.09
