,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2021-04-02,0,0,9.00,1.0,1,1,1,0,0,1.00
1,2021-04-05,0,0,9.00,1.0,2,1,1,0,2,1.50
2,2021-04-07,0,0,6.75,0.2,2,0,0,0,1,1.88
3,2021-04-11,0,0,6.75,0.0,0,0,0,0,0,1.88
4,2021-04-13,1,0,4.15,1.2,1,0,0,0,2,1.38
5,2021-04-14,1,0,3.38,1.0,1,0,0,0,1,1.31
6,2021-04-16,0,0,2.84,1.0,0,0,0,0,1,1.11
7,2021-04-18,0,0,2.35,1.1,0,0,0,0,1,0.91
8,2021-04-22,0,0,2.08,1.0,0,0,0,0,1,0.81
9,2021-04-25,0,0,1.86,1.0,0,0,0,0,1,0.72
10,2021-04-27,0,1,2.38,1.2,2,1,0,0,2,0.79
11,April,2,1,2.38,11.1,9,3,2,0,12,0.79
12,2021-05-01,0,0,2.19,1.0,1,0,0,0,2,0.81
13,2021-05-02,0,0,2.13,0.1,0,0,0,0,1,0.79
14,2021-05-05,0,0,1.84,2.0,2,0,0,0,3,0.82
15,2021-05-08,0,0,2.87,1.0,1,2,1,0,2,0.83
16,2021-05-11,0,0,2.60,1.2,3,0,0,1,3,0.98
17,2021-05-14,0,0,2.33,2.0,2,0,0,0,1,0.98
18,2021-05-18,0,0,3.15,0.2,3,2,0,1,0,1.15
19,2021-05-21,0,0,3.43,1.0,1,1,0,1,0,1.19
20,2021-05-23,0,0,3.68,1.0,2,1,0,0,1,1.23
21,May,0,0,5.06,10.2,15,6,1,3,13,1.69
22,2021-06-01,0,0,3.52,1.0,1,0,0,0,2,1.22
23,2021-06-04,0,0,3.38,1.0,0,0,0,0,0,1.17
24,2021-06-05,0,0,3.24,1.0,0,0,0,0,1,1.12
25,2021-06-07,0,0,3.12,1.0,0,0,0,0,0,1.08
26,2021-06-09,0,0,3.00,1.0,2,0,0,0,3,1.11
27,2021-06-13,0,0,3.10,2.0,1,1,0,3,2,1.17
28,2021-06-18,1,0,2.97,1.1,1,0,0,0,0,1.15
29,2021-06-23,0,0,2.78,2.0,1,0,0,1,0,1.14
30,2021-06-27,0,0,2.70,1.0,0,0,0,0,1,1.11
31,2021-06-30,0,0,2.67,0.1,1,0,0,1,0,1.16
32,June,1,0,0.77,11.2,7,1,0,5,9,1.03
33,2021-07-17,0,0,2.60,1.0,1,0,0,0,1,1.15
34,2021-07-18,0,0,2.80,0.2,1,1,1,0,0,1.16
35,2021-07-20,0,0,2.72,1.0,0,0,0,1,1,1.16
36,2021-07-23,0,0,2.63,1.1,1,0,0,0,2,1.14
37,2021-07-25,0,0,2.56,1.0,0,0,0,0,2,1.11
38,2021-07-28,0,0,2.48,1.1,0,0,0,0,0,1.08
39,2021-07-31,0,0,3.54,0.2,4,5,1,1,1,1.18
40,July,0,0,7.71,7.0,7,6,2,2,7,1.29
41,2021-08-01,0,0,3.51,0.1,1,0,0,0,0,1.20
42,2021-08-03,0,0,3.46,0.2,1,0,0,0,1,1.20
43,2021-08-07,0,0,3.38,1.0,0,0,0,0,0,1.17
44,2021-08-08,0,0,3.30,1.0,0,0,0,2,1,1.19
45,2021-08-10,0,0,3.45,0.2,2,1,1,0,1,1.22
46,August,0,0,2.45,3.2,4,1,1,2,3,1.64
