,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2020-07-25,0,0,1.50,1,0,6.0,2,1,1,1,1,7,0.50
1,2020-07-30,0,1,3.18,1,0,5.1,8,3,3,2,2,3,1.15
2,July,0,1,3.18,2,0,11.1,10,4,4,3,3,10,1.15
3,2020-08-04,0,1,5.65,1,0,3.0,7,5,5,2,0,3,1.40
4,2020-08-10,0,1,8.20,1,0,4.1,8,8,8,3,0,5,1.50
5,2020-08-15,0,1,9.00,1,0,4.1,5,6,6,1,3,5,1.57
6,2020-08-29,0,0,8.63,0,0,1.0,0,0,0,0,0,2,1.50
7,August,0,3,13.50,3,0,12.2,20,19,19,6,3,15,1.82
8,2020-09-18,0,1,9.79,1,0,2.2,8,6,6,2,3,5,1.76
9,2020-09-23,0,0,9.76,0,0,1.0,1,1,1,1,0,2,1.73
10,2020-09-27,0,0,9.68,0,0,3.0,3,3,3,2,1,4,1.70
11,September,0,1,13.50,1,0,6.2,12,10,10,5,4,11,2.40
