,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2021-04-06,1,0,0.00,1.0,0,0,0,1,2,1.00
1,2021-04-12,0,0,0.00,1.0,0,0,0,0,1,0.50
2,2021-04-15,0,0,3.00,1.0,1,1,1,1,1,1.00
3,2021-04-16,0,0,2.25,1.0,0,0,0,0,2,0.75
4,2021-04-20,1,0,1.80,1.0,0,0,0,0,1,0.60
5,2021-04-21,0,0,1.50,1.0,1,0,0,2,1,1.00
6,2021-04-28,0,0,2.57,1.0,2,1,1,0,1,1.14
7,2021-04-30,0,0,2.25,1.0,0,0,0,0,1,1.00
8,April,2,0,2.25,8.0,4,2,2,4,10,1.00
9,2021-05-06,0,0,2.00,1.0,0,0,0,0,0,0.89
10,2021-05-08,0,0,1.86,0.2,0,0,0,0,1,0.83
11,2021-05-12,0,0,1.69,1.0,0,0,0,0,1,0.75
12,2021-05-13,0,0,1.59,0.2,0,0,0,0,1,0.71
13,2021-05-16,0,0,1.46,1.0,1,0,0,0,2,0.73
14,2021-05-19,0,0,1.29,1.2,0,0,0,1,2,0.71
15,2021-05-21,0,0,1.20,1.0,0,0,0,0,1,0.67
16,2021-05-22,1,0,1.13,1.0,1,0,0,0,2,0.69
17,2021-05-23,0,0,1.06,1.0,0,0,0,0,2,0.65
18,2021-05-26,0,0,1.00,1.0,2,0,0,0,2,0.72
19,2021-05-29,0,1,2.33,1.1,1,3,0,2,1,0.83
20,May,1,1,2.38,11.1,5,3,0,3,15,0.71
21,2021-06-01,0,0,2.66,1.0,2,1,0,0,2,0.89
22,2021-06-02,1,0,2.49,1.1,1,0,0,0,3,0.88
23,2021-06-04,0,0,2.38,1.0,1,0,0,0,2,0.88
24,2021-06-09,0,0,2.59,1.2,2,1,1,0,3,0.90
25,June,1,0,3.60,5.0,6,2,1,0,10,1.20
26,2021-07-08,0,0,2.49,1.0,1,0,0,0,1,0.91
27,2021-07-11,0,0,2.39,1.0,0,0,0,0,1,0.87
28,2021-07-18,0,0,2.63,1.0,1,1,1,0,3,0.88
29,2021-07-20,0,0,2.54,1.0,0,0,0,0,2,0.85
30,2021-07-21,0,0,2.45,1.0,1,0,0,0,1,0.85
31,2021-07-21,1,0,2.67,1.0,1,1,1,0,1,0.86
32,2021-07-24,0,0,2.59,1.0,1,0,0,0,2,0.86
33,2021-07-25,0,0,2.48,1.1,2,0,0,0,2,0.89
34,2021-07-26,0,0,2.41,1.0,2,0,0,0,1,0.92
35,July,1,0,1.93,9.1,9,2,2,0,14,0.96
36,2021-08-11,0,0,2.67,0.0,2,1,0,2,0,1.04
37,2021-08-13,0,0,2.60,1.0,0,0,0,0,2,1.01
38,2021-08-15,0,0,2.52,1.0,1,0,0,0,1,1.01
39,2021-08-16,0,1,2.75,0.1,1,1,1,0,0,1.03
40,2021-08-18,0,0,2.68,1.0,1,0,0,0,1,1.03
41,2021-08-21,0,0,2.84,1.0,1,1,0,0,2,1.03
42,2021-08-24,0,0,2.79,0.2,1,0,0,0,0,1.03
43,2021-08-25,0,0,2.77,0.1,0,0,0,0,1,1.03
44,2021-08-28,0,0,2.72,0.2,0,0,0,0,0,1.01
45,2021-08-30,0,0,3.35,0.2,1,3,0,2,2,1.07
46,August,0,1,8.10,6.2,8,6,1,4,9,1.80
47,2021-09-01,0,0,3.27,1.0,0,0,0,1,0,1.06
48,2021-09-03,0,0,3.19,1.0,1,0,0,0,2,1.06
49,2021-09-04,0,0,3.12,1.0,0,0,0,1,1,1.06
50,2021-09-08,0,0,3.30,0.1,1,1,1,0,1,1.08
51,2021-09-11,0,0,3.22,1.0,0,0,0,0,2,1.05
52,2021-09-14,0,0,3.18,0.2,1,0,0,0,2,1.06
53,2021-09-16,0,0,3.28,1.1,2,1,0,0,2,1.07
54,2021-09-19,0,0,3.21,1.0,0,0,0,0,1,1.05
55,2021-09-23,0,0,3.14,1.0,0,0,0,1,1,1.05
56,2021-09-25,0,1,3.26,1.0,1,1,0,2,2,1.09
57,2021-09-29,0,0,3.38,1.0,1,1,1,0,1,1.09
58,September,0,1,3.48,10.1,7,4,2,5,15,1.16
59,2021-10-02,0,0,3.31,1.0,1,0,0,0,2,1.08
60,October,0,0,0.00,1.0,1,0,0,0,2,1.00
