,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2021-04-05,0,1,7.20,5.0,8,4,0,2,6,2.00
1,2021-04-11,0,0,7.00,4.0,3,3,1,3,5,1.78
2,2021-04-16,1,0,4.20,6.0,1,0,0,2,9,1.27
3,2021-04-21,0,0,4.35,5.2,5,3,2,1,1,1.21
4,2021-04-27,0,0,3.86,5.0,5,1,0,0,2,1.17
5,April,1,1,3.86,25.2,22,11,3,8,23,1.17
6,2021-05-02,0,0,4.76,2.2,5,4,1,0,3,1.24
7,2021-05-23,0,0,4.45,2.0,1,0,0,0,1,1.19
8,2021-05-27,0,0,4.59,3.0,4,2,1,0,2,1.20
9,2021-05-31,0,0,4.63,1.2,1,1,1,0,0,1.17
10,May,0,0,6.75,9.1,11,7,3,0,6,1.18
11,2021-06-06,0,0,4.54,2.2,2,1,0,2,1,1.19
12,2021-06-13,0,0,4.54,2.0,2,1,0,1,0,1.21
13,2021-06-18,0,1,5.19,3.2,11,5,0,1,2,1.38
14,2021-06-24,0,0,4.66,5.0,1,0,0,2,7,1.30
15,2021-06-30,0,0,5.26,3.0,7,5,3,2,5,1.40
16,June,0,1,6.61,16.1,23,12,3,8,15,1.90
17,2021-07-07,1,0,4.87,6.0,4,1,1,0,6,1.33
18,2021-07-16,0,0,5.14,4.0,5,4,2,2,5,1.35
19,2021-07-21,0,0,5.16,5.0,6,3,2,0,2,1.34
20,2021-07-28,0,0,4.79,5.0,3,0,0,1,9,1.30
21,July,1,0,3.60,20.0,18,8,5,3,22,1.05
22,2021-08-02,0,1,5.26,4.0,9,6,0,3,3,1.39
23,2021-08-08,0,0,5.49,5.0,10,5,2,1,2,1.44
24,2021-08-14,0,1,5.91,5.0,11,7,2,1,5,1.50
25,2021-08-20,0,0,5.88,5.0,8,3,1,0,9,1.51
26,2021-08-28,0,0,5.70,4.1,3,1,0,2,6,1.49
27,August,0,2,8.49,23.1,41,22,5,7,25,2.06
28,2021-09-03,1,0,5.54,6.0,3,2,2,0,7,1.43
29,2021-09-10,0,0,5.37,5.0,3,1,1,0,6,1.39
30,2021-09-15,0,1,5.56,6.0,7,6,1,2,5,1.40
31,2021-09-21,0,0,5.49,3.0,3,1,0,0,4,1.39
32,2021-09-28,0,0,5.26,5.0,0,0,0,2,6,1.35
33,September,1,1,3.60,25.0,16,10,4,4,28,0.80
34,2021-10-03,0,0,5.05,5.0,1,0,0,1,2,1.31
35,October,0,0,0.00,5.0,1,0,0,1,2,0.40
