W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
2019-06-20,0,0,1.8,5.0,5,1,0,2,6,1.4
2019-06-26,0,1,3.6,5.0,4,3,0,2,8,1.3
2019-07-02,0,0,4.5,2.0,3,2,1,1,2,1.42
2019-07-13,0,0,4.24,5.0,4,2,1,5,5,1.53
2019-07-19,0,1,3.63,5.1,3,1,0,4,5,1.48
2019-07-24,1,0,2.76,7.0,2,0,0,1,9,1.23
2019-07-30,0,1,2.72,7.0,4,2,1,3,8,1.18
2019-08-07,1,0,2.4,5.0,1,0,0,3,6,1.14
2019-08-13,0,0,2.58,4.0,9,2,0,1,3,1.26
2019-08-19,0,0,2.45,6.0,5,1,0,6,8,1.32
2019-08-24,0,1,2.56,5.0,6,2,2,2,8,1.35
2019-08-30,0,0,2.79,5.0,5,3,0,1,6,1.34
2019-09-04,1,0,2.5,7.0,1,0,0,1,8,1.23
2019-09-10,0,1,2.66,6.0,5,3,0,2,9,1.22
2019-09-15,0,1,2.81,5.2,5,3,3,2,5,1.23
2020-07-26,0,0,2.25,4.0,2,1,1,5,6,1.75
2020-07-31,0,0,2.7,6.0,5,2,1,1,9,1.3
2020-08-06,0,0,2.81,6.0,6,2,1,1,6,1.25
2020-08-11,0,0,2.74,7.0,7,2,1,0,7,1.17
2020-08-17,0,0,2.4,7.0,3,1,1,1,8,1.03
2020-08-22,0,0,2.25,6.0,3,1,0,4,6,1.06
2020-08-28,1,0,2.09,7.0,5,1,1,1,5,1.02
2020-09-02,0,0,1.8,7.0,1,0,0,2,7,0.94
2020-09-07,0,1,2.29,5.0,5,4,0,2,6,0.98
2020-09-12,0,1,3.15,5.0,7,7,2,5,6,1.1
2020-09-18,1,0,3.0,6.0,6,1,1,1,6,1.11
2020-09-25,1,0,2.75,6.0,5,0,0,2,10,1.11
2021-04-13,0,0,2.25,4.0,3,1,1,2,8,1.25
2021-04-20,0,0,3.72,5.2,4,3,0,4,6,1.34
2021-04-25,1,0,2.16,7.0,1,0,0,2,6,0.96
2021-05-01,0,1,3.48,4.0,6,4,0,2,7,1.16
2021-05-07,0,0,3.04,6.0,4,1,0,4,5,1.2
2021-06-17,0,1,3.99,2.2,4,4,1,1,3,1.26
2021-06-22,0,1,3.67,5.0,3,1,1,0,8,1.17
2021-06-27,0,0,3.69,4.2,6,2,1,3,3,1.26
2021-07-02,0,1,4.17,2.0,5,3,1,3,3,1.39
2021-07-17,0,0,3.86,5.2,3,1,0,2,7,1.33
2021-07-23,0,1,4.8,4.0,6,7,2,3,5,1.4
2021-07-30,0,0,4.61,6.0,5,2,1,1,8,1.36
2021-08-04,0,1,4.62,5.2,4,3,1,3,6,1.35
2021-08-10,0,0,4.87,6.0,7,5,1,1,7,1.35
2021-08-15,0,1,5.03,5.0,8,4,3,3,5,1.4
2021-08-21,0,0,4.59,7.0,3,0,0,1,9,1.33
2021-08-26,1,0,4.32,5.0,3,0,1,2,6,1.31
2021-08-31,0,1,4.34,6.0,5,3,1,4,4,1.32
2021-09-07,0,1,4.32,6.2,6,3,0,0,8,1.3
2021-09-13,0,1,4.44,5.1,8,4,0,3,4,1.34
2021-09-19,0,0,4.53,6.0,5,4,1,1,7,1.32
2021-09-25,1,0,4.37,6.0,3,1,1,2,8,1.29
2021-10-02,1,0,4.3,6.0,6,2,2,2,6,1.29
