W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
2019-09-01,0,0,0.0,1.0,0,0,0,0,0,0.0
2019-09-03,0,0,0.0,0.1,1,0,0,1,1,1.5
2019-09-06,0,0,0.0,1.0,0,0,0,0,2,0.86
2019-09-08,0,0,0.0,1.0,0,0,0,0,2,0.6
2019-09-10,0,0,0.0,0.1,0,0,0,0,1,0.55
2019-09-11,0,0,0.0,1.0,0,0,0,0,2,0.43
2019-09-14,0,0,0.0,1.0,0,0,0,0,1,0.35
2019-09-15,0,0,1.42,0.2,1,1,1,2,1,0.79
2019-09-17,0,0,2.45,1.0,1,1,0,0,1,0.82
2019-09-20,0,0,2.16,1.0,1,0,0,0,2,0.84
2019-09-22,0,0,1.93,1.0,1,0,0,0,1,0.86
2019-09-25,0,1,2.61,1.0,2,1,1,0,0,0.97
2019-09-28,0,1,6.55,0.2,3,5,1,2,0,1.36
2020-07-29,0,0,6.75,1.1,2,1,1,0,0,1.5
2020-07-30,0,0,3.86,1.0,1,0,0,0,1,1.29
2020-08-15,0,0,6.23,2.0,4,2,0,1,2,1.85
2020-08-27,0,0,7.11,2.0,4,2,0,1,2,2.05
2021-04-01,0,0,0.0,1.0,0,0,0,0,2,0.0
2021-04-04,0,0,0.0,1.0,0,0,0,0,0,0.0
2021-04-07,0,0,6.0,1.0,2,2,2,0,2,0.67
2021-04-08,0,0,5.4,0.1,0,0,0,0,0,0.6
2021-04-11,0,0,4.15,1.0,0,0,0,0,1,0.46
2021-04-13,0,0,3.86,0.1,1,0,0,2,0,1.07
2021-04-15,0,0,3.18,1.0,1,0,0,0,0,1.06
2021-04-18,0,0,3.0,0.1,0,0,0,1,0,1.17
2021-04-21,0,0,2.7,0.2,1,0,0,0,1,1.2
2021-04-25,0,0,2.35,1.0,0,0,0,0,2,1.04
2021-04-30,0,0,1.86,2.0,1,0,0,0,3,0.93
2021-05-03,0,0,1.69,1.0,0,0,0,0,1,0.84
2021-05-04,0,0,2.31,1.0,2,1,0,0,0,0.94
2021-05-08,0,0,2.13,1.0,0,0,0,0,1,0.87
2021-05-11,0,0,2.7,0.2,2,1,0,0,1,0.98
2021-05-12,0,0,2.51,1.0,1,0,0,0,3,0.98
2021-05-14,0,0,2.35,1.0,0,0,0,0,2,0.91
2021-05-16,0,0,3.31,1.0,1,2,1,1,2,0.98
2021-05-20,0,0,3.12,1.0,1,0,0,0,1,0.98
2021-05-25,0,0,3.0,0.2,0,0,0,0,1,0.94
2021-05-27,0,0,2.84,1.0,1,0,0,0,3,0.95
2021-05-29,0,0,2.7,1.0,0,0,0,2,1,1.0
2021-06-01,0,0,3.05,0.2,2,1,0,1,0,1.11
2021-06-05,0,0,2.91,1.0,1,0,0,0,2,1.11
2021-06-09,0,0,2.82,0.2,0,0,0,1,0,1.12
2021-06-10,0,0,2.74,0.2,0,0,0,0,1,1.09
2021-06-13,0,1,3.38,1.0,2,2,1,0,2,1.13
2021-06-16,0,0,3.96,1.0,2,2,1,0,2,1.16
2021-06-18,0,0,3.91,0.1,0,0,0,0,0,1.14
2021-06-19,0,0,3.76,1.0,0,0,0,0,2,1.1
2021-06-22,1,0,3.71,0.1,1,0,0,0,0,1.13
2021-06-24,0,0,3.54,1.1,0,0,0,0,1,1.07
2021-06-27,0,0,3.41,1.0,0,0,0,1,0,1.07
2021-06-30,0,0,3.6,1.0,1,1,0,2,1,1.13
2021-07-02,0,0,3.48,1.0,1,0,0,0,1,1.13
2021-07-04,0,0,3.38,1.0,0,0,0,0,1,1.09
2021-07-06,0,0,3.27,1.0,0,0,0,1,1,1.09
2021-07-10,0,0,3.18,1.0,1,0,0,0,1,1.09
2021-07-11,1,0,3.09,1.0,2,0,0,0,0,1.11
2021-07-16,0,0,3.0,1.0,0,0,0,1,1,1.11
2021-07-18,0,0,2.92,1.0,1,0,0,0,2,1.11
2021-07-21,0,0,2.84,1.0,0,0,0,1,2,1.11
2021-07-23,0,0,2.77,1.0,0,0,0,1,1,1.1
2021-07-28,0,0,2.7,1.0,0,0,0,0,2,1.08
2021-07-31,0,0,2.85,1.0,3,1,0,0,0,1.12
2021-08-03,1,0,2.72,2.0,0,0,0,0,2,1.07
2021-08-08,0,0,2.64,1.1,0,0,0,0,2,1.04
2021-08-12,0,0,2.72,2.0,2,1,0,1,3,1.06
2021-08-15,0,0,2.66,1.0,0,0,0,0,1,1.04
2021-08-17,0,0,2.61,1.0,1,0,0,0,2,1.03
2021-08-20,0,0,2.54,1.1,1,0,0,0,1,1.03
2021-08-21,0,0,2.49,1.0,1,0,0,0,1,1.03
2021-08-23,0,0,2.44,1.0,0,0,0,0,1,1.01
2021-08-26,0,0,2.39,1.0,0,0,0,0,1,0.99
2021-08-29,0,0,2.35,1.0,0,0,0,0,1,0.97
2021-09-02,0,0,2.26,2.0,0,0,0,1,4,0.95
2021-09-06,0,0,2.22,1.0,0,0,0,0,3,0.94
2021-09-07,0,0,2.18,1.0,1,0,0,0,1,0.94
2021-09-26,0,0,2.15,1.0,1,0,0,0,1,0.94
2021-09-28,0,0,2.11,1.0,0,0,0,2,2,0.96
2021-10-01,0,0,2.23,1.0,2,1,0,0,1,0.97
