W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2018-06-09,0,1,1.29,1,0,7.0,3,1,1,0,1,6,0.57
2018-06-15,0,1,2.45,1,0,4.0,7,6,2,1,1,3,1.09
2018-06-22,0,1,3.86,1,0,5.1,6,5,4,0,1,4,1.16
2018-06-27,1,0,2.82,1,0,6.0,2,0,0,0,5,5,1.16
2018-07-03,0,0,3.0,1,0,4.2,7,2,2,0,3,6,1.33
2018-07-11,1,0,3.38,1,0,5.0,5,3,3,1,1,1,1.31
2018-08-26,0,0,3.19,1,0,4.2,4,1,1,1,3,3,1.34
2018-09-07,0,0,3.4,0,0,3.0,3,2,2,1,1,3,1.34
2018-09-15,0,0,3.38,0,0,3.0,2,1,1,0,2,3,1.34
2018-09-21,0,0,3.09,0,0,4.0,1,0,0,0,1,5,1.26
2018-09-28,0,0,3.02,0,0,1.0,0,0,0,0,0,2,1.24
2019-04-22,1,0,0.0,1,0,5.0,2,0,0,0,4,7,1.2
2019-04-28,0,0,0.75,1,0,7.0,3,1,1,1,0,9,0.75
2019-05-04,0,0,2.12,1,0,5.0,5,3,3,2,2,6,0.94
2019-05-09,0,1,2.55,1,0,7.2,7,3,3,2,1,9,0.97
2019-05-16,1,0,1.93,1,0,8.0,4,0,0,0,2,7,0.92
2019-05-21,0,0,2.48,1,0,3.2,3,3,3,2,6,6,1.07
2019-05-27,1,0,3.27,1,0,5.0,6,5,5,1,2,3,1.14
2019-06-02,0,0,3.42,1,0,6.0,6,3,3,0,1,1,1.14
2019-06-08,0,1,3.57,1,0,5.2,5,3,3,0,2,5,1.15
2019-06-14,0,1,3.68,1,0,5.2,5,4,3,0,4,4,1.19
2019-06-19,1,0,3.64,1,0,5.2,2,2,2,0,3,6,1.17
2019-06-25,0,0,3.86,1,0,3.1,4,3,3,0,4,2,1.23
2019-06-30,1,0,3.8,1,0,5.2,5,2,2,1,1,7,1.21
2019-07-06,0,1,4.29,1,0,4.1,7,6,6,2,0,3,1.24
2019-07-13,1,0,3.98,1,0,6.0,4,0,0,0,2,6,1.22
2019-07-19,1,0,3.96,1,0,5.0,5,3,2,1,2,2,1.23
2019-07-24,0,1,4.09,1,0,6.0,5,4,4,2,0,7,1.2
2019-07-30,0,0,3.84,1,0,6.0,3,0,0,0,1,6,1.17
2019-08-05,0,0,3.8,1,0,6.0,8,2,2,2,2,5,1.2
2019-08-11,1,0,3.56,1,0,7.0,4,0,0,0,2,7,1.18
2019-08-17,1,0,3.61,1,0,6.0,8,3,3,1,2,4,1.2
2019-08-24,0,0,3.59,1,0,5.2,4,2,2,1,0,5,1.18
2019-08-29,0,0,3.67,1,0,4.2,6,5,3,1,1,1,1.19
2019-09-07,1,0,3.64,1,0,6.0,8,2,2,0,0,11,1.2
2019-09-13,0,0,3.95,1,0,3.0,5,7,6,2,1,3,1.22
2019-09-20,0,0,3.92,0,0,1.0,0,0,0,0,0,2,1.21
2019-09-22,0,0,3.84,0,0,3.0,1,0,0,0,0,5,1.19
2019-09-29,0,0,3.81,0,0,1.0,0,0,0,0,2,2,1.19
2020-07-27,0,0,0.0,1,0,4.0,5,0,0,0,1,5,1.5
2020-08-02,1,0,0.93,1,0,5.2,3,1,1,0,0,7,0.93
2020-08-07,0,0,1.08,1,0,7.0,3,1,1,0,3,3,0.9
2020-08-12,1,0,2.42,1,0,5.2,5,4,4,2,0,4,0.9
2020-08-17,0,0,2.93,1,0,5.1,5,3,3,1,3,3,1.01
2020-08-22,0,1,2.97,1,0,5.2,6,4,2,0,2,6,1.08
2020-08-29,0,1,3.72,1,0,3.0,6,4,4,2,3,2,1.24
2020-09-07,1,0,3.12,1,0,7.0,7,0,0,0,0,4,1.2
2020-09-12,1,0,2.92,1,0,6.0,8,1,1,1,2,8,1.26
2020-09-18,1,0,2.57,1,0,6.2,3,0,0,0,3,7,1.21
2020-09-25,0,0,2.29,1,0,7.0,5,0,0,0,0,6,1.16
2021-04-01,0,1,5.06,1,0,5.1,4,3,3,0,2,3,1.13
2021-04-06,0,1,5.56,1,0,6.0,9,4,4,2,1,4,1.41
2021-04-12,1,0,4.96,1,0,5.0,2,2,2,0,5,4,1.41
2021-04-18,0,0,4.43,1,0,6.0,5,2,2,0,2,8,1.34
2021-04-24,1,0,4.13,1,0,6.0,8,2,2,0,1,8,1.38
2021-04-29,0,0,3.93,1,0,6.0,4,2,2,1,1,9,1.28
2021-05-05,0,0,3.7,1,0,7.0,6,2,2,0,0,7,1.21
2021-05-11,1,0,3.54,1,0,7.0,3,2,2,1,0,10,1.1
2021-05-16,0,0,3.88,1,0,5.0,6,4,4,1,2,4,1.14
2021-05-22,1,0,3.69,1,0,7.2,5,2,2,0,1,8,1.1
2021-05-27,1,0,3.21,1,0,9.0,2,0,0,0,1,9,1.0
2021-06-01,0,0,3.53,1,0,4.0,6,4,4,1,1,6,1.04
2021-06-08,1,0,3.44,1,0,7.0,4,2,2,1,1,6,1.01
2021-06-13,1,0,3.43,1,0,5.2,5,2,2,1,3,5,1.04
2021-06-19,0,0,3.4,1,0,6.0,6,2,2,1,2,7,1.06
2021-06-24,1,0,3.25,1,0,7.0,5,1,1,0,3,4,1.06
2021-06-30,1,0,3.04,1,0,7.0,3,0,0,0,1,7,1.03
2021-07-06,0,0,3.41,1,0,4.1,8,6,6,2,1,6,1.07
2021-07-11,1,0,3.28,1,0,7.0,4,1,1,0,1,3,1.05
2021-07-18,0,1,3.31,1,0,7.0,6,3,3,2,0,8,1.04
2021-07-24,0,0,3.46,1,0,5.0,5,4,4,2,3,6,1.06
2021-07-30,1,0,3.28,1,0,7.0,6,0,0,0,1,7,1.06
2021-08-06,0,0,3.19,1,0,7.0,5,1,1,0,0,8,1.04
2021-08-12,1,0,3.06,1,0,6.0,3,0,0,0,2,6,1.03
2021-08-17,0,1,3.22,1,0,1.0,3,3,3,0,0,1,1.05
2021-09-23,0,0,3.16,1,0,3.0,1,0,0,0,1,4,1.04
2021-09-28,0,0,3.15,1,0,3.1,3,1,1,0,3,1,1.06
