W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
2018-05-01,0,0,1.5,6.0,3,1,1,0,4,0.5
2018-05-07,1,0,0.71,6.2,4,0,0,3,9,0.79
2018-05-19,0,0,1.56,4.2,3,2,0,3,4,0.92
2018-05-25,0,1,3.27,4.2,9,5,1,1,7,1.18
2018-05-30,0,1,4.5,4.0,7,5,2,1,5,1.31
2018-06-05,1,0,3.74,7.2,8,1,0,1,2,1.28
2018-06-10,1,0,3.63,6.0,3,2,0,1,9,1.18
2018-06-16,1,0,3.43,5.0,3,1,0,1,6,1.14
2018-06-22,1,0,3.44,5.0,6,2,0,1,5,1.17
2018-06-27,1,0,3.02,7.0,4,0,0,2,6,1.13
2018-07-03,1,0,2.97,7.0,5,2,1,0,6,1.08
2018-07-09,0,0,3.15,5.0,5,3,1,0,4,1.08
2018-07-23,0,0,3.41,2.2,5,3,3,3,1,1.15
2018-07-29,0,1,3.64,5.1,7,4,1,1,4,1.17
2018-08-04,1,0,3.61,8.0,4,3,2,0,6,1.11
2018-08-10,0,1,3.57,6.0,5,2,1,1,8,1.1
2018-08-16,1,0,3.7,6.2,7,4,0,3,5,1.13
2018-08-22,0,0,3.93,3.1,10,4,0,2,2,1.21
2018-08-27,0,1,3.99,5.1,8,3,1,2,5,1.25
2018-09-01,0,1,4.05,5.0,7,3,0,1,4,1.26
2018-09-08,0,1,4.42,3.0,4,6,1,3,5,1.29
2018-09-14,1,0,4.26,6.1,5,1,1,1,4,1.27
2018-09-19,1,0,4.09,5.0,3,0,0,3,9,1.27
2018-09-24,0,1,4.36,2.2,5,5,0,3,3,1.3
2019-04-02,1,0,0.0,5.0,3,0,0,1,9,0.8
2019-04-07,1,0,0.75,7.0,6,1,1,0,5,0.83
2019-04-13,0,1,3.94,4.0,10,6,3,0,4,1.25
2019-04-18,0,1,3.68,6.0,7,2,1,3,2,1.36
2019-04-23,0,1,4.15,4.0,4,3,1,1,3,1.35
2019-04-28,1,0,3.34,9.0,7,1,0,0,3,1.2
2019-05-05,1,0,3.0,7.0,4,1,1,2,5,1.14
2019-05-11,1,0,2.47,9.0,4,0,0,0,7,1.02
2019-05-16,0,1,2.89,5.0,7,4,1,2,7,1.09
2019-05-21,0,0,2.76,6.0,6,1,0,4,2,1.15
2019-05-26,0,1,3.02,3.2,6,3,2,1,4,1.19
2019-06-07,1,0,2.88,6.1,4,1,1,4,6,1.19
2019-06-12,0,1,2.81,8.0,5,2,0,1,9,1.15
2019-06-19,0,1,2.83,6.0,5,2,0,3,7,1.16
2019-06-24,1,0,3.26,5.0,11,6,3,1,4,1.23
2019-06-29,0,0,3.34,6.0,8,3,1,1,3,1.25
2019-07-04,0,1,3.78,3.0,7,6,2,2,3,1.3
2019-07-15,0,1,4.16,6.0,9,7,1,1,5,1.32
2019-07-20,0,1,4.25,4.0,5,3,0,0,3,1.32
2019-07-27,0,1,4.63,2.2,7,6,2,4,1,1.38
2019-07-31,0,0,4.59,1.0,1,0,0,2,2,1.4
2019-08-02,0,0,4.51,2.0,0,0,0,0,2,1.37
2019-08-06,0,0,4.53,1.2,2,1,1,0,2,1.37
2019-08-10,0,0,4.49,1.0,0,0,0,1,1,1.37
2019-08-17,0,0,4.57,3.2,7,3,0,2,2,1.4
2019-08-24,1,0,4.5,6.0,6,2,0,0,2,1.38
2019-09-01,0,0,4.33,7.0,3,1,1,1,3,1.34
2019-09-06,0,0,4.31,5.0,6,2,1,0,6,1.34
2019-09-11,0,1,4.2,3.2,3,0,1,3,5,1.34
2019-09-18,1,0,4.0,7.0,5,0,0,2,4,1.33
2019-09-23,0,1,4.16,5.0,8,5,3,4,2,1.36
2019-09-28,1,0,4.13,7.2,6,3,1,2,6,1.35
2020-08-06,0,0,0.0,4.0,4,0,0,1,5,1.25
2020-08-12,0,1,3.6,6.0,7,4,2,1,10,1.3
2020-08-18,0,0,5.14,4.0,5,4,0,3,8,1.5
2020-08-23,1,0,5.12,5.1,6,3,0,3,6,1.55
2020-08-29,1,0,4.1,7.0,4,1,1,0,8,1.29
2020-09-03,0,0,4.45,6.0,7,4,1,0,5,1.27
2020-09-08,0,0,4.58,5.0,8,3,3,1,6,1.34
