W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
2019-08-09,0,0,0.0,4.0,6,0,0,0,3,1.5
2019-08-29,0,0,0.0,3.0,5,0,0,0,0,1.57
2019-08-31,0,0,0.0,1.0,2,0,0,0,3,1.63
2019-09-03,0,0,0.0,1.0,0,0,0,1,2,1.56
2019-09-08,0,1,1.64,2.0,3,2,0,1,1,1.64
2019-09-11,0,0,2.25,1.0,1,1,1,0,1,1.58
2019-09-15,0,0,2.12,5.0,6,1,0,1,2,1.53
2019-09-20,1,0,2.01,5.1,3,1,0,2,5,1.39
2019-09-25,1,0,1.59,6.0,1,0,0,0,6,1.13
2020-07-25,0,1,2.25,4.0,3,1,0,2,3,1.25
2020-07-31,1,0,1.0,5.0,3,0,0,2,4,1.11
2020-08-05,1,0,0.6,6.0,3,0,0,0,1,0.87
2020-08-10,1,0,0.9,5.0,4,1,0,1,3,0.9
2020-08-16,1,0,1.42,5.1,3,2,2,1,3,0.87
2020-08-22,1,0,1.78,5.0,8,2,1,1,2,1.02
2020-08-29,0,1,3.12,4.1,12,6,0,2,1,1.3
2020-09-04,1,0,2.72,5.0,4,0,0,1,4,1.26
2020-09-08,0,1,3.61,2.2,2,5,0,2,2,1.28
2020-09-15,0,1,4.05,4.1,8,4,0,1,4,1.35
2021-04-01,0,1,0.0,0.0,1,0,0,0,0,0.0
2021-04-05,0,0,15.0,3.0,5,5,2,1,1,2.33
2021-04-13,0,1,9.0,3.0,2,1,0,1,0,1.67
2021-04-16,0,1,11.88,2.1,6,5,0,0,4,1.92
2021-04-21,0,0,10.61,1.0,0,0,0,0,0,1.71
2021-04-28,0,0,8.74,2.0,1,0,0,0,3,1.5
2021-05-01,0,0,8.16,3.0,3,2,2,1,3,1.47
2021-05-21,1,0,5.75,6.0,3,0,0,2,5,1.28
2021-05-28,0,1,6.49,6.0,9,6,0,1,3,1.37
2021-06-02,0,1,6.19,5.2,8,3,1,2,3,1.44
2021-06-09,0,1,7.36,4.2,11,8,4,3,0,1.64
2021-06-13,0,0,8.38,2.0,7,6,1,0,2,1.73
2021-06-19,0,0,7.83,5.0,4,2,1,1,1,1.65
2021-09-03,0,1,7.64,7.0,6,5,0,0,2,1.54
