W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
2018-06-18,0,0,6.75,1.1,1,1,0,3,2,3.0
2018-06-20,0,0,5.4,0.1,0,0,0,0,1,2.4
2018-06-23,0,0,3.38,1.0,0,0,0,1,0,1.88
2018-06-25,0,0,2.45,1.0,1,0,0,0,2,1.64
2018-06-27,0,0,1.93,1.0,1,0,0,0,1,1.5
2018-07-03,0,0,1.59,1.0,1,0,0,0,1,1.41
2018-07-04,0,0,1.35,1.0,2,0,0,0,0,1.5
2018-07-08,0,0,1.17,1.0,0,0,0,2,1,1.57
2018-07-14,0,0,1.04,1.0,0,0,0,0,2,1.38
2018-07-20,0,0,3.86,0.2,2,3,0,2,0,1.71
2018-07-21,0,0,3.48,1.0,0,0,0,0,1,1.55
2018-07-22,0,0,3.18,1.0,0,0,0,1,1,1.5
2018-07-24,0,0,3.65,1.0,1,1,0,0,1,1.46
2018-07-29,0,0,3.38,1.0,1,0,0,0,0,1.43
2018-07-31,0,0,3.14,1.0,0,0,0,2,1,1.47
2018-08-05,0,0,3.07,0.1,0,0,0,0,0,1.43
2018-08-07,0,0,2.87,1.0,0,0,0,0,1,1.34
2018-08-08,0,0,2.7,1.0,0,0,0,0,0,1.26
2018-08-12,0,0,4.08,1.0,3,3,1,0,2,1.36
2018-08-13,0,0,3.86,1.0,0,0,0,1,1,1.34
2018-08-16,0,0,3.66,1.0,0,0,0,0,2,1.27
2018-08-18,0,0,3.48,1.0,0,0,0,0,1,1.21
2018-08-24,1,0,3.32,1.0,1,0,0,1,0,1.25
2018-08-29,0,0,3.57,1.0,1,1,1,1,3,1.28
2018-09-03,0,0,3.91,0.1,2,1,1,2,0,1.43
2018-09-07,0,0,4.13,1.0,1,1,1,1,1,1.46
2018-09-08,0,0,3.96,1.0,0,0,0,0,0,1.4
2018-09-10,0,0,3.81,1.0,1,0,0,0,2,1.38
2018-09-11,0,0,3.76,0.1,0,0,0,2,0,1.44
2018-09-13,0,0,3.62,1.0,0,0,0,0,1,1.39
2018-09-16,0,0,4.13,1.0,2,2,0,1,1,1.45
2018-09-20,0,0,3.99,1.0,1,0,0,0,1,1.43
2018-09-21,0,0,3.86,1.0,1,0,0,1,2,1.45
2018-09-23,0,0,4.02,1.0,2,1,0,1,1,1.5
2018-09-25,0,0,3.9,1.0,2,0,0,1,0,1.55
2018-09-27,0,0,3.78,1.0,0,0,0,0,1,1.5
2018-09-29,0,0,3.67,1.0,1,0,0,0,1,1.49
2019-03-28,0,0,54.0,0.1,1,2,0,1,0,6.0
2019-04-02,0,0,13.5,1.0,0,0,0,1,2,2.25
2019-04-03,0,1,11.57,1.0,1,1,0,1,0,2.14
2019-04-06,0,0,15.0,0.2,1,2,1,1,0,2.33
2019-04-09,0,0,11.25,1.0,1,0,0,0,1,2.0
2019-04-11,0,0,10.8,1.0,3,1,0,0,0,2.2
2019-04-13,0,0,9.0,1.0,0,0,0,0,0,1.83
2019-04-14,1,0,7.71,1.0,0,0,0,0,0,1.57
2019-04-17,1,0,6.0,2.0,2,0,0,1,1,1.56
2019-04-21,0,0,6.3,1.0,2,1,0,0,1,1.6
2019-04-24,0,0,5.73,1.0,0,0,0,1,1,1.55
2019-04-27,0,0,5.25,1.0,0,0,0,0,1,1.42
2019-04-29,0,0,6.23,1.0,3,2,0,2,0,1.69
2019-05-02,0,1,7.07,1.0,1,2,1,1,0,1.71
2019-05-03,0,0,6.6,1.0,3,0,0,0,1,1.8
2019-05-06,0,0,6.75,1.0,1,1,0,1,0,1.81
2019-05-08,0,0,6.35,1.0,0,0,0,0,0,1.71
2019-05-11,0,0,6.5,1.0,3,1,0,1,1,1.83
2019-05-16,0,0,6.52,1.1,1,1,1,1,1,1.81
2019-05-17,0,0,6.2,1.0,1,0,0,0,1,1.77
2019-05-22,0,0,5.91,1.0,0,0,0,1,1,1.73
2019-05-25,0,0,5.48,1.2,0,0,0,0,2,1.61
2019-05-26,0,0,5.25,1.0,2,0,0,0,0,1.63
2019-05-28,0,0,5.04,1.0,2,0,0,0,0,1.64
2019-05-30,0,0,4.85,1.0,0,0,0,1,2,1.62
2019-06-01,0,0,4.78,0.1,0,0,0,0,0,1.59
2019-06-05,0,0,4.61,1.0,0,0,0,1,0,1.57
2019-06-08,0,0,4.45,1.0,0,0,0,0,1,1.52
2019-06-13,0,0,4.66,0.2,2,1,0,1,1,1.59
2019-06-15,0,0,4.5,1.0,0,0,0,0,1,1.53
2019-06-16,0,0,4.35,1.0,0,0,0,0,1,1.48
2019-06-21,0,0,4.22,1.0,0,0,0,0,1,1.44
2019-06-22,0,1,4.64,1.0,3,2,0,0,1,1.48
2019-06-24,0,1,4.91,0.0,1,1,1,0,0,1.52
2019-06-28,0,0,5.35,0.2,1,2,1,1,0,1.54
2019-07-01,0,0,5.19,1.0,2,0,0,0,0,1.56
2019-07-03,0,0,5.05,1.0,1,0,0,0,0,1.54
2019-07-04,0,0,4.91,1.0,1,0,1,0,0,1.53
2019-07-05,0,0,4.78,1.0,1,0,0,0,0,1.51
2019-07-14,0,0,4.66,1.0,0,0,0,0,1,1.47
2019-07-17,0,0,5.26,0.2,2,3,1,1,1,1.53
2019-07-19,0,0,5.8,1.0,3,3,0,1,0,1.59
2021-06-15,0,0,0.0,1.1,0,0,0,1,1,0.75
2021-06-19,0,1,7.11,5.0,7,5,2,2,2,1.58
2021-06-26,0,0,5.0,2.2,0,0,0,2,0,1.33
2021-06-30,1,0,3.21,5.0,3,0,0,0,5,1.07
2021-07-05,1,0,2.14,7.0,3,0,0,0,6,0.86
2021-07-11,0,0,2.08,5.0,3,1,1,2,2,0.88
2021-07-18,1,0,1.64,7.0,4,0,0,4,4,0.94
2021-07-23,0,1,2.56,5.2,5,5,2,3,3,1.01
2021-07-28,0,0,3.64,3.1,6,6,2,2,1,1.12
2021-08-03,0,0,3.47,4.2,6,1,1,2,3,1.18
2021-08-08,0,0,3.48,5.0,6,2,1,1,4,1.2
2021-08-14,0,0,3.7,4.1,6,3,0,3,6,1.27
2021-08-21,0,1,3.63,6.0,6,2,1,1,2,1.26
2021-09-01,0,0,3.68,4.0,4,2,1,1,2,1.26
2021-09-07,0,0,3.6,4.0,6,1,0,3,3,1.31
2021-09-14,0,0,3.32,6.0,2,0,0,2,5,1.26
2021-09-19,1,0,3.04,7.0,3,0,0,3,3,1.23
2021-09-26,0,1,3.08,4.2,8,2,0,3,3,1.29
2021-10-01,0,1,3.07,6.0,9,2,1,3,3,1.33
