W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2019-04-25,0,1,108.0,1,0,0.1,3,5,4,0,4,0,21.0
2020-08-10,0,0,18.0,0,0,1.0,1,2,2,0,1,1,2.0
2020-08-16,0,0,9.0,0,0,1.0,0,0,0,0,1,0,1.5
2020-08-18,0,0,6.0,0,0,1.0,2,0,0,0,0,1,1.67
2020-08-20,0,0,4.91,0,0,0.2,0,0,0,0,2,0,1.91
2020-08-22,0,0,3.18,0,0,2.0,1,0,0,0,1,5,1.59
2020-08-25,0,0,2.35,0,0,2.0,1,0,0,0,1,2,1.43
2020-08-29,0,0,3.38,0,0,0.1,2,1,1,1,1,1,1.75
2020-09-04,0,0,6.0,0,0,1.0,2,3,3,1,1,2,1.89
2020-09-07,0,0,5.4,0,0,1.0,0,0,0,0,0,1,1.7
2020-09-10,0,0,5.25,0,0,2.0,1,1,1,0,0,2,1.5
2020-09-12,0,0,4.85,0,0,1.0,1,1,0,0,2,3,1.62
2020-09-20,0,0,4.5,0,0,1.0,0,0,0,0,0,1,1.5
2020-09-24,0,0,3.86,0,0,2.1,2,0,0,0,0,3,1.41
2020-09-27,0,0,3.63,0,0,1.0,0,0,0,0,1,1,1.38
2021-04-01,0,0,7.71,0,0,2.1,4,2,2,1,1,2,2.14
2021-04-06,0,0,8.31,0,0,2.0,2,2,2,0,1,2,1.85
2021-04-09,0,0,6.75,0,0,1.0,0,0,0,0,1,1,1.69
2021-04-12,0,1,5.4,0,0,3.0,1,1,1,1,2,7,1.44
2021-04-15,0,0,5.19,0,0,0.1,1,0,0,0,1,1,1.62
2021-04-17,0,0,5.59,0,0,1.0,2,1,1,0,0,0,1.66
2021-04-20,0,0,7.59,0,0,1.0,3,3,3,2,3,3,2.06
2021-04-25,0,0,6.94,0,0,1.0,0,0,0,0,0,1,1.89
2021-05-01,0,0,6.08,0,0,1.2,3,0,0,0,1,2,1.95
2021-05-06,1,0,5.28,0,0,2.0,0,0,0,0,1,1,1.76
2021-05-09,0,0,4.67,0,0,2.0,2,0,0,0,1,1,1.73
2021-05-14,0,0,4.19,0,0,2.0,1,0,0,0,0,1,1.6
2021-05-19,0,0,3.8,0,0,2.0,1,0,0,0,1,1,1.55
2021-05-21,1,0,3.63,0,0,1.0,1,1,0,0,1,2,1.57
2021-05-27,0,0,4.38,0,0,2.1,2,3,3,0,3,3,1.62
2021-05-30,0,0,4.21,0,0,1.0,1,0,0,0,0,1,1.6
2021-06-02,0,0,4.55,0,0,2.0,4,2,2,1,0,4,1.63
2021-06-06,0,0,4.25,0,0,2.0,1,0,0,0,1,1,1.58
2021-06-08,0,0,4.99,0,0,1.0,4,3,3,1,0,2,1.66
2021-06-12,0,0,5.12,0,0,1.0,1,1,1,1,0,2,1.64
2021-06-16,0,0,5.13,0,0,1.2,1,1,1,1,0,1,1.59
2021-06-20,0,0,4.84,0,0,2.0,2,0,0,0,0,1,1.56
2021-06-22,0,1,5.75,1,0,0.2,2,4,4,1,3,2,1.67
2021-06-30,0,0,5.59,0,0,1.0,1,0,0,0,0,1,1.65
2021-07-02,0,1,5.4,0,0,1.1,1,1,0,0,1,0,1.64
2021-07-05,0,0,5.22,0,0,1.1,0,0,0,0,0,1,1.59
2021-07-07,0,0,5.09,0,0,1.0,0,0,0,0,1,2,1.57
2021-07-10,0,0,4.89,0,0,1.2,1,0,0,0,0,1,1.54
2021-07-18,0,0,4.74,0,0,1.1,0,0,0,0,0,2,1.49
2021-07-22,0,0,4.7,0,0,2.1,0,1,1,0,1,1,1.43
2021-07-25,0,0,4.41,1,0,3.0,0,0,0,0,1,3,1.37
2021-07-31,0,0,4.44,1,0,3.2,3,2,2,1,1,3,1.35
2021-08-05,0,0,4.13,0,0,4.0,3,2,0,0,2,4,1.34
2021-08-11,0,0,4.01,0,0,4.0,2,1,1,0,4,3,1.35
2021-08-17,0,1,3.97,1,0,5.0,5,2,2,0,0,2,1.32
2021-08-24,1,0,4.08,1,0,5.0,5,3,3,2,2,6,1.33
2021-08-29,1,0,3.96,1,0,6.2,6,2,2,1,0,6,1.29
2021-09-05,1,0,3.95,1,0,7.0,7,3,3,2,0,4,1.27
2021-09-12,1,0,3.99,1,0,6.0,5,3,3,2,0,2,1.24
2021-09-17,0,1,4.52,1,0,3.1,8,7,7,0,3,4,1.31
2021-09-22,0,0,4.55,1,0,5.1,4,3,3,0,4,3,1.32
2021-09-29,0,1,4.66,1,0,5.1,6,4,4,0,1,2,1.32
