W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2019-05-01,0,1,3.18,1,0,5.2,6,2,2,0,1,3,1.24
2019-05-07,0,0,3.6,1,0,4.1,7,2,2,0,2,5,1.6
2019-05-19,0,1,5.4,1,0,5.0,8,5,5,1,2,2,1.73
2019-05-25,1,0,5.14,1,0,6.0,2,3,3,2,2,9,1.43
2019-06-05,0,0,4.85,1,0,5.0,5,2,2,1,0,7,1.35
2019-06-14,0,0,5.23,1,0,5.0,6,4,4,1,1,1,1.35
2019-06-23,0,0,4.91,0,0,2.0,2,0,0,0,0,3,1.33
2019-06-26,0,0,5.08,0,0,0.2,1,1,1,0,3,0,1.43
2019-06-28,1,0,4.79,0,0,2.0,1,0,0,0,1,2,1.4
2019-06-30,0,0,4.66,0,0,1.0,0,0,0,0,0,0,1.36
2019-07-03,0,0,4.83,1,0,4.1,5,3,3,2,1,4,1.37
2019-07-14,0,0,4.21,1,0,6.0,3,0,0,0,1,3,1.28
2019-07-21,1,0,3.76,0,0,5.2,2,0,0,0,0,6,1.18
2019-07-27,1,0,3.57,1,0,5.1,3,1,1,0,4,4,1.19
2019-08-03,0,1,3.57,1,0,5.0,6,4,2,1,0,3,1.19
2019-08-09,1,0,3.21,1,0,7.0,5,0,0,0,0,5,1.14
2019-08-14,1,0,3.23,1,0,5.1,3,2,2,1,1,4,1.12
2019-08-20,0,1,3.32,1,0,6.0,5,3,3,1,0,9,1.09
2019-08-27,0,1,3.99,1,0,4.1,8,8,8,1,3,1,1.17
2019-09-02,0,1,4.57,1,0,5.0,10,8,8,1,1,4,1.22
2019-09-09,0,1,5.12,1,0,4.1,10,8,8,2,2,5,1.29
2019-09-15,0,1,5.33,1,0,3.0,6,4,4,1,3,3,1.35
2019-09-21,0,0,5.16,1,0,5.0,2,1,1,0,0,6,1.3
2020-07-27,1,0,0.0,0,0,1.1,1,0,0,0,1,1,1.5
2020-08-01,0,0,4.76,0,0,4.1,4,3,3,2,2,4,1.41
2020-08-10,1,0,3.12,0,0,3.0,2,0,0,0,0,3,1.15
2020-08-15,0,0,2.92,1,0,3.2,5,1,1,0,1,5,1.3
2020-08-18,0,0,2.84,0,1,0.1,0,0,0,0,0,0,1.26
2020-08-19,0,0,2.77,0,0,0.1,0,1,0,0,0,0,1.23
2020-08-21,0,0,3.21,0,0,1.0,2,1,1,0,1,2,1.36
2020-08-23,0,0,2.93,0,0,1.1,1,0,0,0,0,2,1.3
2020-08-28,0,0,2.76,0,0,1.0,2,0,0,0,1,0,1.41
2020-08-30,0,0,2.6,0,0,1.0,0,0,0,0,0,1,1.33
2020-09-01,0,0,2.33,0,0,2.0,2,0,0,0,0,2,1.29
2020-09-05,0,0,2.25,0,0,0.2,1,0,0,0,0,1,1.3
2020-09-08,0,0,2.14,0,0,1.0,2,2,0,0,0,0,1.33
2020-09-13,0,0,2.86,0,0,1.0,3,2,2,1,0,2,1.41
2020-09-16,0,0,2.74,0,0,1.0,0,0,0,0,0,1,1.35
2020-09-19,0,0,2.52,0,0,2.0,1,0,0,0,1,1,1.32
2020-09-22,0,0,2.17,1,0,4.0,1,0,0,0,1,4,1.21
2020-09-27,0,0,2.25,1,0,3.0,4,2,1,1,0,2,1.22
2021-04-04,0,0,0.0,0,0,1.0,0,0,0,0,0,2,0.0
2021-04-12,0,0,0.0,0,0,2.0,2,0,0,0,1,1,1.0
2021-04-14,0,0,0.0,0,0,2.0,1,0,0,0,1,0,1.0
2021-04-16,0,0,2.57,0,0,2.0,2,2,2,0,3,1,1.43
2021-04-20,0,0,3.38,0,0,1.0,3,1,1,1,0,0,1.63
2021-04-22,0,0,4.0,0,0,1.0,2,1,1,1,1,0,1.78
2021-04-23,0,0,3.27,0,0,2.0,0,0,0,0,0,1,1.45
2021-04-25,0,0,2.92,0,0,1.1,0,0,0,0,1,0,1.38
2021-05-01,0,0,2.57,0,0,1.2,1,0,0,0,1,1,1.36
2021-05-04,0,0,2.25,0,0,2.0,2,0,0,0,1,2,1.38
2021-05-08,0,0,2.12,0,0,1.0,1,0,0,0,1,0,1.41
2021-05-12,0,0,2.0,0,0,1.0,2,0,0,0,0,1,1.44
2021-05-15,0,0,1.83,0,0,1.2,2,0,0,0,0,2,1.42
2021-05-17,0,0,2.18,0,0,1.0,3,1,1,0,0,0,1.5
2021-05-21,0,0,1.99,0,0,2.0,1,0,0,0,1,3,1.46
2021-05-23,0,0,1.9,0,0,1.0,0,0,0,0,0,2,1.39
2021-05-26,0,1,2.03,0,0,3.0,2,1,1,0,0,4,1.31
2021-05-31,0,0,2.08,1,0,3.2,4,1,1,0,0,5,1.29
2021-06-06,0,1,3.41,1,0,1.1,5,7,5,1,0,1,1.39
2021-06-09,0,0,3.21,0,0,2.0,1,0,0,0,1,2,1.37
2021-06-15,0,0,3.11,1,0,4.0,3,1,1,0,0,4,1.3
2021-06-19,0,0,2.74,1,0,5.0,3,0,0,0,2,2,1.27
2021-06-25,0,0,3.64,1,0,4.1,6,6,6,1,1,2,1.3
2021-06-30,0,0,4.11,1,0,3.1,8,4,4,0,2,3,1.41
2021-07-04,0,0,4.2,1,0,5.1,6,3,3,1,2,3,1.42
2021-07-10,1,0,4.23,1,0,6.0,5,3,3,2,1,1,1.38
2021-07-17,1,0,4.05,1,0,5.0,4,1,1,0,2,5,1.37
2021-07-22,0,0,3.84,1,0,6.0,4,1,1,0,3,2,1.35
2021-07-27,0,0,3.66,1,0,6.0,4,1,1,1,1,5,1.31
2021-08-01,0,0,3.4,1,0,6.0,3,1,0,0,4,6,1.3
2021-08-06,1,0,3.14,1,0,7.0,4,0,0,0,0,10,1.24
2021-08-11,0,0,3.13,1,0,6.0,3,2,2,0,3,5,1.23
2021-08-16,0,0,3.24,1,0,5.0,8,3,3,1,1,4,1.26
2021-08-22,1,0,3.04,1,0,7.0,2,0,0,0,2,9,1.21
2021-08-28,0,0,2.93,1,0,7.0,6,2,1,1,2,6,1.21
2021-09-03,0,1,3.15,1,0,6.0,7,5,5,3,2,6,1.22
2021-09-09,1,0,3.04,1,0,7.2,4,1,1,1,2,5,1.2
2021-09-15,1,0,2.89,1,0,6.2,2,3,0,1,3,4,1.18
2021-09-21,1,0,2.82,1,0,6.2,7,1,1,1,2,6,1.18
2021-09-27,1,0,2.89,1,0,6.0,6,3,3,0,0,5,1.18
