W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2018-05-10,0,0,0.0,0,0,2.0,2,0,0,0,0,0,1.0
2018-05-13,0,0,3.0,0,0,1.0,4,1,1,0,0,1,2.0
2018-05-16,0,0,2.25,1,0,5.0,3,1,1,1,1,2,1.25
2018-05-21,0,1,2.08,1,0,5.0,5,1,1,0,0,3,1.15
2018-05-27,0,1,2.5,1,0,5.0,6,2,2,1,0,3,1.17
2018-06-01,0,1,4.29,1,0,3.0,5,5,5,3,2,1,1.33
2018-06-09,0,0,4.09,0,0,1.0,1,0,0,0,0,0,1.32
2018-06-10,0,0,3.91,0,0,1.0,1,0,0,0,1,0,1.35
2018-06-14,0,1,4.18,0,0,5.0,4,3,3,0,3,3,1.36
2018-06-19,0,0,4.4,0,0,2.2,4,2,2,0,3,1,1.47
2018-06-22,0,0,5.12,0,0,1.0,2,3,3,0,2,0,1.55
2018-06-26,0,1,5.05,1,0,4.0,4,2,2,0,2,8,1.54
2018-07-03,0,0,4.78,0,0,2.0,0,0,0,0,1,1,1.49
2018-07-04,0,0,4.66,0,0,1.0,0,0,0,0,1,0,1.47
2018-07-07,0,0,6.59,0,0,2.1,8,10,10,2,2,0,1.63
2018-07-11,1,0,6.28,0,0,2.0,1,0,0,0,1,3,1.6
2018-07-15,1,0,6.14,0,0,1.0,0,0,0,0,0,1,1.57
2018-07-26,0,0,6.09,0,0,0.1,0,0,0,0,0,0,1.56
2018-07-27,0,0,5.91,0,0,1.1,1,0,0,0,2,2,1.58
2018-07-30,0,0,5.66,0,0,2.0,1,0,0,0,0,1,1.53
2018-08-03,0,0,5.77,0,0,0.2,1,1,1,0,1,1,1.55
2018-08-06,0,0,5.73,0,0,0.1,1,0,0,0,0,1,1.56
2018-08-07,0,1,5.8,0,0,1.0,1,1,1,1,0,2,1.55
2018-08-11,0,0,5.68,0,0,1.0,1,0,0,0,0,0,1.54
2018-08-12,0,0,5.37,0,0,3.0,1,0,0,0,0,3,1.47
2018-08-15,0,0,5.08,0,0,3.0,2,0,0,0,0,2,1.43
2018-08-23,0,1,5.28,1,0,3.0,3,3,3,2,2,2,1.44
2018-09-08,0,0,5.34,0,0,1.0,2,1,1,0,1,1,1.47
2018-09-13,0,0,5.25,0,0,1.0,0,0,0,0,0,1,1.44
2018-09-17,0,0,5.17,0,0,1.0,1,0,0,0,0,1,1.44
2018-09-20,0,0,5.29,0,0,2.0,3,2,2,1,1,0,1.45
2018-09-26,0,0,5.21,0,0,1.0,0,0,0,0,1,1,1.45
2019-05-28,0,0,9.0,0,0,2.0,4,2,2,0,1,0,2.5
2019-06-11,0,1,5.87,1,0,5.2,5,3,3,0,1,7,1.43
2019-06-17,0,1,3.95,1,0,6.0,5,2,1,1,0,6,1.17
2019-06-22,0,0,4.34,1,0,5.0,4,3,3,2,2,6,1.18
2019-06-28,1,0,4.07,1,0,5.2,3,2,2,1,2,7,1.11
2019-07-04,0,1,4.4,1,0,4.1,5,3,3,2,1,6,1.15
2019-07-07,0,0,4.25,0,0,1.0,0,0,0,0,1,2,1.15
2019-07-12,0,0,4.11,0,0,1.0,0,0,0,0,0,2,1.11
2019-07-14,0,0,4.26,0,0,1.0,1,1,1,1,0,1,1.11
2019-07-16,0,0,4.28,0,0,2.0,2,1,1,1,0,1,1.1
2019-07-20,0,1,5.24,0,0,0.2,4,4,4,1,2,1,1.25
2019-07-28,0,0,4.93,1,0,4.0,3,1,1,0,2,2,1.25
2019-08-03,0,0,5.66,1,0,3.0,4,5,5,2,4,0,1.35
2019-08-08,1,0,4.94,1,0,6.0,2,0,0,0,2,7,1.27
2019-08-14,0,1,5.4,1,0,6.0,8,6,6,4,1,7,1.29
2019-08-20,0,0,5.18,1,0,4.0,3,1,1,1,2,5,1.29
2019-08-25,1,0,4.97,1,0,6.0,3,2,2,1,0,5,1.22
2019-08-30,0,0,5.06,1,0,6.0,6,4,4,0,2,3,1.23
2019-09-05,0,0,5.23,1,0,3.0,7,5,3,1,2,3,1.3
2019-09-10,0,0,5.24,1,0,5.0,4,3,3,1,0,5,1.27
2019-09-15,0,0,5.03,1,0,5.0,3,1,1,1,1,9,1.24
2020-08-05,0,0,0.0,1,0,4.1,2,0,0,0,1,5,0.69
2020-08-11,0,0,2.79,1,0,5.1,4,3,3,1,1,5,0.83
2020-08-16,0,0,1.84,1,0,5.0,3,0,0,0,0,9,0.75
2020-08-21,1,0,2.29,1,0,5.0,3,2,2,2,1,6,0.76
2020-08-26,0,0,3.04,1,0,4.0,7,4,3,2,1,7,0.97
2020-09-01,0,0,3.16,1,0,2.0,2,1,1,0,1,2,1.01
2021-04-03,0,0,7.71,1,0,2.1,2,2,2,1,0,3,0.86
2021-04-11,0,0,3.68,1,0,5.0,5,1,1,1,1,4,1.09
2021-06-03,0,0,2.92,1,0,5.0,3,1,1,1,0,6,0.89
2021-08-15,0,0,2.55,1,0,5.1,4,1,1,1,1,4,0.91
2021-08-20,0,1,3.63,1,0,4.2,5,5,4,2,2,6,1.03
2021-08-26,1,0,3.62,1,0,5.0,7,2,2,1,1,4,1.13
2021-09-05,0,0,3.9,1,0,5.0,3,3,3,2,1,6,1.08
2021-09-11,0,0,4.14,1,0,4.2,7,3,3,0,1,4,1.16
2021-09-17,0,1,3.8,1,0,5.2,5,2,1,0,5,3,1.24
2021-09-22,0,1,4.24,1,0,4.0,7,4,4,3,2,7,1.33
2021-09-29,0,0,4.18,1,0,5.0,6,2,2,1,0,6,1.32
