W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
2018-04-02,1,0,3.38,5.1,4,2,1,0,9,0.75
2018-04-08,1,0,1.26,9.0,1,0,0,2,7,0.49
2018-04-14,0,0,0.89,6.0,4,0,0,3,2,0.69
2018-04-19,0,1,2.86,1.2,4,5,1,2,3,0.91
2018-04-25,0,1,4.91,3.2,10,7,2,0,3,1.17
2018-04-30,0,1,4.83,6.0,7,3,0,2,5,1.23
2018-05-05,0,0,4.42,5.0,6,1,0,2,1,1.28
2018-05-11,0,0,4.08,3.0,1,0,0,1,5,1.24
2018-05-16,0,0,3.97,5.2,5,2,2,3,5,1.26
2018-05-22,0,1,4.56,6.0,8,6,1,1,8,1.29
2018-05-27,0,0,4.53,6.1,5,3,0,1,6,1.25
2018-06-01,1,0,3.97,8.0,3,0,0,1,6,1.16
2018-06-07,0,1,4.08,5.0,8,3,1,1,7,1.2
2018-06-13,1,0,3.94,7.0,6,2,1,2,4,1.2
2018-06-19,0,1,4.03,5.0,7,3,1,1,7,1.22
2018-06-25,1,0,3.96,6.0,4,2,0,3,5,1.22
2018-07-01,0,0,4.05,4.2,7,3,1,3,4,1.26
2018-07-07,0,1,4.05,6.2,5,3,0,0,6,1.23
2018-07-12,1,0,3.91,6.0,4,1,1,2,10,1.22
2018-07-20,1,0,3.8,5.1,6,1,0,1,6,1.22
2018-07-25,0,1,3.73,7.0,7,2,0,1,5,1.22
2018-07-31,1,0,3.74,6.2,7,3,1,2,2,1.22
2018-08-07,1,0,3.63,9.0,10,2,0,1,3,1.22
2018-08-14,0,1,3.66,6.0,7,3,0,1,4,1.23
2018-08-19,0,0,3.58,6.0,5,1,1,3,8,1.23
2018-08-25,1,0,3.49,6.0,5,1,1,0,8,1.22
2018-08-31,1,0,3.45,7.0,5,2,2,1,7,1.2
2018-09-05,1,0,3.4,5.0,8,1,1,0,6,1.21
2018-09-12,1,0,3.37,7.0,4,2,0,2,4,1.2
2018-09-18,0,0,3.24,7.0,4,0,0,1,11,1.18
2018-09-24,1,0,3.16,7.0,5,1,1,3,5,1.18
2018-09-29,0,1,3.2,6.0,7,3,1,0,7,1.18
2019-03-28,0,1,6.0,6.0,5,4,1,2,4,1.17
2019-04-03,0,0,3.46,7.0,3,1,1,0,5,0.77
2019-04-08,0,1,3.0,2.0,4,0,0,2,4,1.07
2019-04-14,0,0,3.43,6.0,7,3,0,1,4,1.14
2019-04-20,1,0,3.12,5.0,4,1,0,1,3,1.12
2019-04-25,0,1,4.06,5.0,6,5,0,0,5,1.13
2019-05-01,1,0,4.1,6.1,5,3,2,2,5,1.13
2021-04-07,0,0,3.86,4.2,3,2,2,0,7,0.64
2021-04-13,0,1,7.56,3.2,8,5,1,1,3,1.44
2021-04-20,0,0,5.4,5.0,4,1,0,1,5,1.28
2021-04-25,0,1,6.23,4.0,5,4,1,0,6,1.27
2021-05-01,1,0,5.24,5.0,3,1,1,3,8,1.25
2021-05-07,0,0,5.02,6.1,3,3,2,1,5,1.12
2021-05-13,0,1,5.4,4.2,6,4,1,2,9,1.2
2021-05-18,0,0,5.73,4.1,6,4,1,2,3,1.27
2021-05-23,0,0,5.06,5.0,2,0,0,2,4,1.22
2021-05-31,0,1,5.1,5.0,5,3,1,3,5,1.26
2021-06-05,0,0,5.09,5.1,6,3,0,1,3,1.26
2021-06-12,0,0,5.74,0.1,5,4,0,1,0,1.37
2021-06-18,0,0,5.59,4.2,4,2,1,1,5,1.34
2021-06-24,1,0,5.18,6.1,5,1,0,2,6,1.32
2021-06-29,1,0,5.43,5.1,9,5,3,1,4,1.36
2021-07-06,1,0,5.05,7.0,4,1,0,1,9,1.3
2021-07-11,0,0,4.9,6.0,3,2,2,2,4,1.27
2021-07-18,1,0,4.6,5.1,4,0,0,2,3,1.26
2021-07-24,1,0,4.36,7.0,4,1,0,3,4,1.24
2021-07-30,1,0,4.11,5.2,5,0,0,2,5,1.24
2021-08-04,0,0,4.04,6.1,4,2,1,1,10,1.21
2021-08-09,0,0,3.82,6.0,4,0,0,2,4,1.2
2021-08-14,0,0,3.89,5.0,7,3,1,1,4,1.22
2021-08-19,1,0,3.94,5.1,5,3,1,0,5,1.21
2021-08-26,0,0,4.18,3.2,4,5,2,3,4,1.23
2021-08-31,0,1,4.44,4.2,5,6,1,2,6,1.24
2021-09-06,0,1,4.41,7.0,4,3,2,2,5,1.22
2021-09-28,0,0,4.4,2.1,1,1,0,1,2,1.21
2021-10-03,0,0,4.3,3.1,2,0,0,1,2,1.21
